Model,Condition,Fold,Accuracy,Sensitivity,Specificity,AUC
CNN+GRU,Curvilinear,1,0.47845,0.54545,0.40541,0.45983
CNN+GRU,Curvilinear,2,0.49569,0.4876,0.5045,0.49899
CNN+GRU,Curvilinear,3,0.55603,0.63636,0.46847,0.52431
CNN+GRU,Curvilinear,4,0.58874,0.57851,0.6,0.55432
CNN+GRU,Curvilinear,5,0.46753,0.5,0.43243,0.48206
CNN+GRU,Curvilinear_70,1,0.47845,0.54545,0.40541,0.45983
CNN+GRU,Curvilinear_70,2,0.49569,0.4876,0.5045,0.49899
CNN+GRU,Curvilinear_70,3,0.55603,0.63636,0.46847,0.52431
CNN+GRU,Curvilinear_70,4,0.58874,0.57851,0.6,0.55432
CNN+GRU,Curvilinear_70,5,0.46753,0.5,0.43243,0.48206
CNN+GRU,Rectilinear,1,0.58696,0.58696,0.58696,0.66493
CNN+GRU,Rectilinear,2,0.52174,0.36957,0.67391,0.57514
CNN+GRU,Rectilinear,3,0.57609,0.54348,0.6087,0.56758
CNN+GRU,Rectilinear,4,0.6087,0.51111,0.70213,0.64444
CNN+GRU,Rectilinear,5,0.51648,0.42222,0.6087,0.55797
CNN+GRU,Rectilinear_70,1,0.58696,0.58696,0.58696,0.66493
CNN+GRU,Rectilinear_70,2,0.52174,0.36957,0.67391,0.57514
CNN+GRU,Rectilinear_70,3,0.57609,0.54348,0.6087,0.56758
CNN+GRU,Rectilinear_70,4,0.6087,0.51111,0.70213,0.64444
CNN+GRU,Rectilinear_70,5,0.51648,0.42222,0.6087,0.55797
CNN+GRU,Combine,1,0.53395,0.53892,0.52866,0.55807
CNN+GRU,Combine,2,0.52469,0.51497,0.53503,0.53583
CNN+GRU,Combine,3,0.5387,0.54217,0.53503,0.50372
CNN+GRU,Combine,4,0.57895,0.63253,0.52229,0.57762
CNN+GRU,Combine,5,0.51393,0.56024,0.46497,0.53952
CNN+GRU,Combine_70,1,0.53395,0.53892,0.52866,0.55807
CNN+GRU,Combine_70,2,0.52469,0.51497,0.53503,0.53583
CNN+GRU,Combine_70,3,0.5387,0.54217,0.53503,0.50372
CNN+GRU,Combine_70,4,0.57895,0.63253,0.52229,0.57762
CNN+GRU,Combine_70,5,0.51393,0.56024,0.46497,0.53952
