Model,Condition,Fold,Accuracy,Sensitivity,Specificity,AUC
CNN+RNN,Curvilinear,1,0.47414,0.54545,0.3964,0.45775
CNN+RNN,Curvilinear,2,0.49138,0.4876,0.4955,0.49803
CNN+RNN,Curvilinear,3,0.55603,0.63636,0.46847,0.5255
CNN+RNN,Curvilinear,4,0.58009,0.54545,0.61818,0.55139
CNN+RNN,Curvilinear,5,0.46753,0.5,0.43243,0.47785
CNN+RNN,Curvilinear_70,1,0.47414,0.54545,0.3964,0.45775
CNN+RNN,Curvilinear_70,2,0.49138,0.4876,0.4955,0.49803
CNN+RNN,Curvilinear_70,3,0.55603,0.63636,0.46847,0.5255
CNN+RNN,Curvilinear_70,4,0.58009,0.54545,0.61818,0.55139
CNN+RNN,Curvilinear_70,5,0.46753,0.5,0.43243,0.47785
CNN+RNN,Rectilinear,1,0.6087,0.58696,0.63043,0.66966
CNN+RNN,Rectilinear,2,0.51087,0.34783,0.67391,0.57467
CNN+RNN,Rectilinear,3,0.55435,0.5,0.6087,0.56522
CNN+RNN,Rectilinear,4,0.6087,0.51111,0.70213,0.64586
CNN+RNN,Rectilinear,5,0.51648,0.42222,0.6087,0.55411
CNN+RNN,Rectilinear_70,1,0.6087,0.58696,0.63043,0.66966
CNN+RNN,Rectilinear_70,2,0.51087,0.34783,0.67391,0.57467
CNN+RNN,Rectilinear_70,3,0.55435,0.5,0.6087,0.56522
CNN+RNN,Rectilinear_70,4,0.6087,0.51111,0.70213,0.64586
CNN+RNN,Rectilinear_70,5,0.51648,0.42222,0.6087,0.55411
CNN+RNN,Combine,1,0.53395,0.53892,0.52866,0.55494
CNN+RNN,Combine,2,0.51852,0.50898,0.52866,0.53534
CNN+RNN,Combine,3,0.5387,0.54217,0.53503,0.50464
CNN+RNN,Combine,4,0.56656,0.62651,0.50318,0.57689
CNN+RNN,Combine,5,0.51084,0.54217,0.47771,0.54136
CNN+RNN,Combine_70,1,0.53395,0.53892,0.52866,0.55494
CNN+RNN,Combine_70,2,0.51852,0.50898,0.52866,0.53534
CNN+RNN,Combine_70,3,0.5387,0.54217,0.53503,0.50464
CNN+RNN,Combine_70,4,0.56656,0.62651,0.50318,0.57689
CNN+RNN,Combine_70,5,0.51084,0.54217,0.47771,0.54136
