Model,Condition,Base_Condition,Split,Mean_Accuracy_100,Best_Size_Percent,Windows_Train_Total,Windows_Needed_Best,Subjects_Equiv_Best
CNN+LSTM,Curvilinear,Curvilinear,64-16-20,0.51988,80,741,593,10.2418
CNN+LSTM,Curvilinear,Curvilinear,70-20-10,0.51902,80,811,649,11.20898
CNN+LSTM,Rectilinear,Rectilinear,64-16-20,0.56199,80,294,236,10.28322
CNN+LSTM,Rectilinear,Rectilinear,70-20-10,0.56417,80,321,257,11.19826
CNN+LSTM,Combine,Combined,64-16-20,0.53248,80,1035,828,10.24119
CNN+LSTM,Combine,Combined,70-20-10,0.5331,80,1132,906,11.20594
CNN+RNN,Curvilinear,Curvilinear,64-16-20,0.51383,80,741,593,10.2418
CNN+RNN,Curvilinear,Curvilinear,70-20-10,0.51383,80,811,649,11.20898
CNN+RNN,Rectilinear,Rectilinear,64-16-20,0.55982,80,294,236,10.28322
CNN+RNN,Rectilinear,Rectilinear,70-20-10,0.55982,80,321,257,11.19826
CNN+RNN,Combine,Combined,64-16-20,0.53371,80,1035,828,10.24119
CNN+RNN,Combine,Combined,70-20-10,0.53371,80,1132,906,11.20594
CNN+GRU,Curvilinear,Curvilinear,64-16-20,0.51729,80,741,593,10.2418
CNN+GRU,Curvilinear,Curvilinear,70-20-10,0.51729,80,811,649,11.20898
CNN+GRU,Rectilinear,Rectilinear,64-16-20,0.56199,80,294,236,10.28322
CNN+GRU,Rectilinear,Rectilinear,70-20-10,0.56199,80,321,257,11.19826
CNN+GRU,Combine,Combined,64-16-20,0.53804,80,1035,828,10.24119
CNN+GRU,Combine,Combined,70-20-10,0.53804,80,1132,906,11.20594
