Model,Condition,Fold,Accuracy,Sensitivity,Specificity,AUC
CNN+KNN,Curvilinear,1,0.9181,0.91736,0.91892,0.97424
CNN+KNN,Curvilinear,2,0.88793,0.87603,0.9009,0.9707
CNN+KNN,Curvilinear,3,0.89224,0.87603,0.90991,0.97253
CNN+KNN,Curvilinear,4,0.91775,0.93388,0.9,0.9547
CNN+KNN,Curvilinear,5,0.87879,0.89167,0.86486,0.96704
CNN+KNN,Rectilinear,1,0.80435,0.86957,0.73913,0.91895
CNN+KNN,Rectilinear,2,0.77174,0.78261,0.76087,0.85279
CNN+KNN,Rectilinear,3,0.83696,0.80435,0.86957,0.94045
CNN+KNN,Rectilinear,4,0.80435,0.8,0.80851,0.91277
CNN+KNN,Rectilinear,5,0.74725,0.75556,0.73913,0.86739
CNN+KNN,Combine,1,0.89506,0.89222,0.89809,0.9611
CNN+KNN,Combine,2,0.87963,0.87425,0.88535,0.96432
CNN+KNN,Combine,3,0.90093,0.88554,0.9172,0.97184
CNN+KNN,Combine,4,0.81734,0.8494,0.78344,0.96031
CNN+KNN,Combine,5,0.86068,0.86145,0.85987,0.95635
