Model,Condition,Fold,Accuracy,Sensitivity,Specificity,AUC
CNN+LDA,Curvilinear,1,0.65948,0.64463,0.67568,0.71
CNN+LDA,Curvilinear,2,0.63793,0.72727,0.54054,0.66451
CNN+LDA,Curvilinear,3,0.62069,0.61983,0.62162,0.69116
CNN+LDA,Curvilinear,4,0.59307,0.57025,0.61818,0.62404
CNN+LDA,Curvilinear,5,0.5974,0.6,0.59459,0.65833
CNN+LDA,Rectilinear,1,0.72826,0.67391,0.78261,0.74811
CNN+LDA,Rectilinear,2,0.6413,0.67391,0.6087,0.76087
CNN+LDA,Rectilinear,3,0.6087,0.54348,0.67391,0.66399
CNN+LDA,Rectilinear,4,0.67391,0.66667,0.68085,0.72955
CNN+LDA,Rectilinear,5,0.56044,0.48889,0.63043,0.64396
CNN+LDA,Combine,1,0.59568,0.61078,0.57962,0.62424
CNN+LDA,Combine,2,0.64815,0.66467,0.63057,0.69682
CNN+LDA,Combine,3,0.64706,0.64458,0.64968,0.68886
CNN+LDA,Combine,4,0.64706,0.66265,0.63057,0.68966
CNN+LDA,Combine,5,0.65635,0.70482,0.6051,0.71948
