Model,Condition,Fold,Accuracy,Sensitivity,Specificity,AUC
CNN+SVM,Curvilinear,1,0.9181,0.93388,0.9009,0.9694
CNN+SVM,Curvilinear,2,0.89655,0.86777,0.92793,0.96478
CNN+SVM,Curvilinear,3,0.93534,0.93388,0.93694,0.97759
CNN+SVM,Curvilinear,4,0.91775,0.92562,0.90909,0.97558
CNN+SVM,Curvilinear,5,0.88745,0.9,0.87387,0.94054
CNN+SVM,Rectilinear,1,0.84783,0.91304,0.78261,0.89745
CNN+SVM,Rectilinear,2,0.82609,0.86957,0.78261,0.89698
CNN+SVM,Rectilinear,3,0.84783,0.78261,0.91304,0.92344
CNN+SVM,Rectilinear,4,0.81522,0.8,0.82979,0.90402
CNN+SVM,Rectilinear,5,0.81319,0.82222,0.80435,0.85507
CNN+SVM,Combine,1,0.90432,0.92216,0.88535,0.95724
CNN+SVM,Combine,2,0.87963,0.88623,0.87261,0.94447
CNN+SVM,Combine,3,0.93498,0.92771,0.94268,0.98534
CNN+SVM,Combine,4,0.87616,0.89157,0.85987,0.94325
CNN+SVM,Combine,5,0.87307,0.88554,0.85987,0.94444
