RightLatissimusDorsi,LeftLatissimusDorsi
             -0.014189	,             0.000047	
             -0.003689	,             0.000397	
              0.000134	,            -0.005353	
              0.003543	,             0.004119	
             -0.002251	,             0.005309	
              0.000530	,            -0.000274	
              0.014095	,            -0.007537	
              0.043771	,            -0.002959	
              0.038513	,             0.002975	
              0.018014	,            -0.000739	
             -0.000352	,             0.001305	
             -0.010282	,             0.001824	
              0.004271	,            -0.003403	
              0.011951	,            -0.001363	
              0.013857	,            -0.005581	
              0.006892	,            -0.000324	
              0.008533	,            -0.000989	
              0.006319	,             0.002064	
              0.004305	,            -0.004352	
              0.005494	,             0.001583	
              0.006507	,             0.002273	
              0.005009	,             0.004315	
              0.005717	,             0.001285	
              0.008429	,             0.001807	
              0.003592	,             0.001310	
              0.002489	,             0.007414	
              0.002908	,             0.001505	
             -0.000841	,             0.003717	
              0.003163	,             0.004407	
             -0.001069	,            -0.005058	
              0.002282	,            -0.003695	
              0.005102	,             0.000040	
             -0.001476	,             0.003264	
             -0.002447	,             0.002264	
              0.005142	,             0.001435	
              0.003960	,             0.000618	
             -0.000714	,            -0.000048	
              0.000025	,            -0.003587	
              0.002102	,             0.000657	
              0.002664	,             0.000163	
              0.002052	,            -0.002368	
              0.002466	,            -0.001177	
              0.001879	,             0.000863	
             -0.001206	,             0.001213	
              0.000763	,            -0.004027	
              0.002726	,            -0.000091	
             -0.003030	,            -0.001326	
             -0.003856	,             0.000350	
             -0.000151	,            -0.005749	
             -0.002187	,            -0.003895	
              0.000820	,             0.002211	
              0.007164	,             0.004185	
             -0.002280	,            -0.000915	
             -0.001059	,             0.003611	
             -0.006549	,            -0.004235	
             -0.003455	,            -0.002937	
             -0.000722	,            -0.003635	
             -0.003202	,             0.000880	
             -0.000945	,            -0.003112	
             -0.001561	,            -0.000837	
              0.000168	,            -0.004119	
             -0.001487	,             0.001557	
             -0.001955	,             0.000848	
              0.003117	,             0.000169	
              0.003790	,             0.000650	
              0.002101	,             0.003365	
              0.002608	,            -0.000170	
              0.002115	,            -0.000485	
              0.001789	,            -0.000144	
              0.000627	,             0.000825	
             -0.005065	,            -0.000844	
             -0.004171	,            -0.000491	
             -0.000430	,             0.001966	
              0.004459	,            -0.000398	
              0.006122	,             0.001233	
