RightTrapeziusdescendens,LeftTrapeziusdescendens
                  0.001630	,                 0.033422	
                 -0.000292	,                 0.035123	
                  0.002830	,                 0.022206	
                  0.002410	,                 0.046034	
                  0.004977	,                 0.093953	
                  0.006160	,                 0.085653	
                 -0.000124	,                 0.065865	
                 -0.004451	,                 0.036965	
                 -0.006691	,                 0.001049	
                 -0.002738	,                -0.040337	
                  0.003801	,                -0.078194	
                  0.003083	,                -0.111666	
                 -0.000462	,                -0.122134	
                 -0.002285	,                -0.096768	
                 -0.007749	,                -0.034531	
                 -0.003852	,                 0.009958	
                 -0.010020	,                 0.034211	
                 -0.008935	,                 0.042086	
                 -0.005050	,                 0.011040	
                 -0.008381	,                -0.004816	
                 -0.009806	,                 0.012401	
                 -0.012424	,                -0.010057	
                 -0.010768	,                -0.047458	
                 -0.015753	,                -0.081835	
                 -0.016481	,                -0.093285	
                 -0.015057	,                -0.103553	
                 -0.011470	,                -0.104810	
                 -0.004337	,                -0.106076	
                 -0.008167	,                -0.113648	
                 -0.001566	,                -0.108649	
                 -0.010487	,                -0.082125	
                 -0.005289	,                -0.057527	
                 -0.004488	,                -0.023225	
                 -0.003664	,                -0.000070	
                 -0.009432	,                 0.012945	
                 -0.007042	,                 0.017809	
                  0.003811	,                 0.003018	
                  0.017826	,                -0.003995	
                  0.027262	,                -0.010216	
                  0.042517	,                -0.015607	
                  0.044637	,                -0.020368	
                  0.031941	,                -0.020677	
                  0.020609	,                 0.008515	
                  0.007460	,                 0.045329	
                 -0.012007	,                 0.117975	
                 -0.019040	,                 0.169394	
                 -0.025161	,                 0.196745	
                 -0.044130	,                 0.221226	
                 -0.050845	,                 0.242890	
                 -0.047139	,                 0.206042	
                 -0.052337	,                 0.134258	
                 -0.032726	,                 0.030400	
                 -0.014510	,                -0.065390	
                  0.001809	,                -0.151412	
                  0.000480	,                -0.228905	
                  0.002968	,                -0.298124	
                  0.001903	,                -0.322672	
                  0.000984	,                -0.310376	
                  0.006060	,                -0.275159	
                  0.010560	,                -0.217910	
                  0.024744	,                -0.137870	
                  0.026910	,                -0.043276	
                  0.035611	,                 0.044865	
                  0.058651	,                 0.101694	
                  0.061897	,                 0.131915	
                  0.053206	,                 0.140495	
                  0.050610	,                 0.148213	
                  0.038470	,                 0.108618	
                  0.018524	,                 0.087015	
                  0.043326	,                 0.041940	
                  0.092534	,                 0.012948	
                  0.141438	,                 0.028963	
                  0.198404	,                 0.062561	
                  0.266838	,                 0.127847	
                  0.292681	,                 0.267987	
                  0.264177	,                 0.406907	
                  0.207181	,                 0.385302	
                  0.127033	,                 0.298794	
                  0.031879	,                 0.159763	
                 -0.082388	,                 0.029873	
                 -0.189492	,                -0.120647	
                 -0.286123	,                -0.220613	
                 -0.297852	,                -0.310731	
                 -0.285549	,                -0.391742	
                 -0.315351	,                -0.403818	
                 -0.323208	,                -0.386950	
                 -0.312769	,                -0.346567	
                 -0.287489	,                -0.241240	
                 -0.264144	,                -0.142982	
                 -0.242771	,                -0.054448	
                 -0.199963	,                 0.002763	
                 -0.171712	,                 0.033249	
                 -0.146056	,                 0.041957	
                 -0.096500	,                 0.032594	
                 -0.050714	,                 0.070668	
                  0.002463	,                 0.090879	
                  0.023809	,                 0.096188	
                  0.055871	,                 0.100784	
                  0.061310	,                 0.083833	
                  0.076735	,                 0.068497	
                  0.090486	,                 0.063092	
                  0.111630	,                 0.073747	
                  0.146539	,                 0.068936	
                  0.159737	,                 0.064412	
                  0.145462	,                 0.036180	
                  0.140510	,                 0.017021	
                  0.143010	,                -0.000327	
                  0.132281	,                -0.009936	
                  0.104533	,                 0.013892	
                  0.078609	,                 0.035991	
                  0.048438	,                 0.026466	
                  0.028143	,                 0.012238	
                  0.002461	,                -0.010396	
                 -0.001221	,                -0.031360	
                  0.006963	,                -0.045134	
                  0.003641	,                -0.057564	
                  0.015330	,                -0.082322	
                  0.021075	,                -0.085651	
                  0.017880	,                -0.046989	
                  0.029419	,                -0.031640	
                  0.053242	,                -0.017917	
                  0.106233	,                -0.005423	
                  0.221537	,                 0.021729	
                  0.336840	,                 0.046278	
                  0.380303	,                 0.048713	
                  0.364361	,                 0.045180	
                  0.399922	,                 0.074454	
                  0.432064	,                 0.085182	
                  0.481556	,                 0.087345	
                  0.394034	,                 0.062863	
                  0.220259	,                 0.046413	
                  0.047513	,                 0.020207	
                 -0.197935	,                -0.004139	
                 -0.359970	,                -0.026052	
                 -0.506096	,                -0.046094	
                 -0.637935	,                -0.054191	
                 -0.707696	,                -0.043908	
                 -0.725960	,                -0.014313	
                 -0.661267	,                 0.024311	
                 -0.565393	,                 0.060406	
                 -0.444828	,                 0.064224	
                 -0.304833	,                 0.067877	
                 -0.210335	,                 0.039549	
                 -0.158016	,                 0.006622	
                 -0.079852	,                -0.023919	
                 -0.008864	,                -0.051225	
                  0.030247	,                -0.068491	
                  0.088854	,                -0.083952	
                  0.141779	,                -0.080120	
                  0.189623	,                -0.071109	
                  0.215777	,                -0.062978	
                  0.192706	,                -0.046541	
                  0.185782	,                -0.031431	
                  0.179482	,                -0.017448	
                  0.150377	,                -0.004560	
                  0.102612	,                 0.001086	
                  0.070643	,                 0.000847	
                  0.099994	,                 0.003185	
                  0.126322	,                 0.003365	
                  0.161325	,                 0.006283	
                  0.223202	,                 0.021144	
                  0.299102	,                 0.050036	
                  0.307528	,                 0.054834	
                  0.258440	,                 0.088392	
                  0.179442	,                 0.128707	
                  0.229954	,                 0.124023	
                  0.369893	,                 0.090806	
                  0.428264	,                 0.069363	
                  0.296911	,                 0.033871	
                  0.111003	,                -0.009163	
                 -0.061333	,                -0.061313	
                 -0.261985	,                -0.081743	
                 -0.395846	,                -0.074423	
                 -0.467604	,                -0.067750	
                 -0.487822	,                -0.018915	
                 -0.425236	,                 0.052857	
                 -0.405469	,                 0.119483	
                 -0.354163	,                 0.145626	
