RightLatissimusDorsi,LeftLatissimusDorsi
             -0.005751	,            -0.004326	
             -0.000550	,            -0.002595	
             -0.001373	,            -0.002059	
             -0.003742	,             0.003662	
             -0.004229	,            -0.000048	
              0.000604	,             0.001978	
             -0.001064	,             0.000290	
              0.001712	,            -0.001379	
             -0.001777	,             0.000155	
             -0.004635	,            -0.001014	
             -0.002508	,            -0.004862	
             -0.003391	,             0.000896	
             -0.000987	,            -0.002791	
             -0.005843	,            -0.000741	
             -0.004981	,             0.002290	
             -0.004319	,             0.003961	
              0.002047	,             0.004441	
             -0.003747	,             0.001396	
             -0.001490	,             0.001057	
             -0.002097	,             0.002057	
             -0.001538	,             0.001042	
              0.001305	,            -0.003324	
              0.001774	,            -0.004972	
             -0.000409	,            -0.001405	
             -0.000059	,            -0.001049	
              0.000939	,             0.001822	
              0.004058	,            -0.001713	
             -0.002308	,            -0.001362	
              0.000398	,            -0.005213	
             -0.000425	,            -0.000477	
             -0.002562	,             0.000029	
              0.002297	,             0.002884	
              0.001763	,             0.000345	
             -0.003406	,             0.000678	
              0.005778	,             0.001011	
              0.002016	,            -0.003199	
              0.002969	,            -0.001500	
             -0.002227	,             0.000019	
              0.000475	,             0.001195	
             -0.003681	,            -0.002672	
              0.000039	,             0.002054	
              0.002036	,             0.001533	
              0.002506	,            -0.000158	
             -0.003857	,             0.002367	
              0.003859	,             0.000166	
              0.002799	,            -0.001008	
              0.000091	,             0.000850	
             -0.002410	,             0.000510	
             -0.001708	,            -0.003189	
              0.001815	,            -0.004345	
             -0.001210	,             0.000392	
             -0.001692	,             0.006105	
             -0.000167	,            -0.000826	
              0.002002	,            -0.001662	
             -0.000852	,             0.002560	
             -0.003323	,            -0.001153	
             -0.000921	,            -0.001809	
              0.000772	,             0.002414	
             -0.001052	,             0.002913	
             -0.000854	,            -0.002819	
              0.000340	,            -0.002129	
             -0.000977	,            -0.002786	
             -0.002280	,             0.004134	
              0.000450	,            -0.000427	
              0.001466	,             0.002115	
              0.001803	,            -0.001584	
             -0.001209	,             0.000462	
              0.003012	,             0.004678	
              0.002494	,            -0.000550	
              0.003994	,            -0.001210	
             -0.001040	,            -0.000681	
              0.002511	,             0.001025	
             -0.000499	,            -0.002497	
              0.001212	,            -0.001288	
              0.000727	,             0.000753	
              0.001082	,             0.001769	
             -0.000918	,             0.000758	
             -0.003391	,             0.005141	
              0.001855	,             0.002266	
              0.001190	,             0.001754	
             -0.003655	,            -0.000436	
              0.002092	,             0.000750	
              0.002771	,            -0.001095	
              0.002105	,             0.000604	
              0.002610	,             0.000954	
             -0.002569	,             0.000796	
             -0.001844	,            -0.000889	
             -0.001635	,            -0.005420	
              0.001422	,            -0.001680	
             -0.002592	,             0.001885	
             -0.004050	,            -0.000297	
              0.002891	,            -0.002296	
             -0.000132	,             0.000252	
             -0.000944	,            -0.002100	
             -0.000076	,            -0.001740	
              0.002122	,             0.000128	
              0.001438	,            -0.001558	
             -0.000236	,             0.000141	
             -0.000721	,            -0.000358	
             -0.003219	,             0.000154	
              0.001024	,             0.001001	
              0.000526	,             0.001508	
             -0.005168	,            -0.000338	
             -0.008802	,             0.000674	
             -0.005197	,            -0.003034	
              0.000563	,            -0.001513	
             -0.003127	,            -0.002688	
             -0.001078	,             0.002035	
              0.000617	,             0.002526	
             -0.002239	,            -0.000363	
              0.000306	,             0.000124	
             -0.002705	,             0.001289	
              0.002023	,            -0.005125	
              0.002511	,            -0.000564	
              0.005350	,            -0.003101	
              0.001788	,             0.000603	
              0.003963	,            -0.001434	
              0.001919	,             0.000245	
              0.000060	,            -0.003815	
              0.000393	,            -0.004320	
              0.002066	,            -0.003988	
             -0.001651	,            -0.003658	
             -0.000127	,             0.002069	
              0.000212	,             0.004558	
              0.006597	,             0.006709	
              0.002022	,             0.001778	
              0.001170	,             0.001244	
              0.000488	,             0.004086	
              0.001154	,             0.004559	
              0.002825	,             0.004848	
             -0.003588	,             0.001945	
             -0.004428	,            -0.000616	
             -0.002239	,            -0.003843	
             -0.005777	,            -0.002686	
             -0.001556	,             0.003027	
              0.001289	,            -0.001238	
             -0.002269	,            -0.000590	
              0.001924	,            -0.007045	
             -0.003316	,            -0.004543	
             -0.005321	,            -0.003892	
              0.004107	,             0.000992	
              0.000026	,             0.002654	
             -0.001168	,            -0.001428	
              0.004371	,             0.000067	
              0.009543	,             0.005116	
             -0.000782	,            -0.001324	
             -0.002131	,            -0.000498	
              0.001562	,            -0.002725	
             -0.004010	,            -0.002063	
             -0.000973	,            -0.000389	
             -0.000143	,            -0.002097	
              0.000682	,             0.001437	
              0.002848	,             0.001085	
             -0.002057	,             0.006663	
              0.000957	,            -0.000278	
             -0.000742	,             0.000556	
              0.000768	,             0.001390	
              0.002941	,             0.006628	
             -0.002634	,             0.004598	
             -0.003283	,             0.000373	
             -0.001235	,            -0.003676	
              0.001812	,            -0.000118	
              0.000117	,            -0.000452	
              0.000629	,             0.000731	
             -0.001562	,            -0.002820	
             -0.000368	,            -0.002479	
              0.000643	,             0.002264	
              0.002329	,            -0.001953	
              0.001312	,             0.002118	
              0.001133	,             0.001611	
             -0.002749	,            -0.002611	
             -0.005591	,             0.003828	
             -0.005064	,            -0.002079	
             -0.006214	,            -0.002731	
             -0.002306	,             0.000850	
             -0.000773	,            -0.003355	
             -0.000440	,            -0.001646	
              0.000733	,             0.004113	
              0.005774	,            -0.002798	
              0.010628	,            -0.000077	
              0.012258	,             0.002478	
              0.009341	,             0.006214	
              0.002570	,            -0.000208	
              0.003414	,             0.005711	
             -0.000806	,             0.000482	
              0.001391	,            -0.001529	
             -0.002134	,             0.002718	
             -0.005139	,            -0.001331	
             -0.000888	,            -0.001152	
              0.000812	,             0.002407	
              0.001329	,            -0.002657	
             -0.001685	,             0.002263	
             -0.003678	,             0.000590	
             -0.003310	,            -0.007005	
             -0.002267	,             0.000285	
              0.002817	,             0.004869	
             -0.000717	,            -0.002905	
             -0.001208	,             0.000144	
              0.000496	,            -0.000695	
              0.002019	,             0.001846	
              0.001684	,            -0.000347	
             -0.003866	,            -0.006772	
              0.004586	,            -0.004232	
             -0.000972	,            -0.000503	
              0.000058	,             0.001533	
             -0.000770	,            -0.001518	
              0.000087	,            -0.002029	
             -0.008324	,            -0.003557	
             -0.009287	,            -0.008636	
             -0.006209	,            -0.002210	
              0.002248	,             0.000314	
             -0.000958	,             0.000977	
              0.004267	,             0.003001	
             -0.000295	,             0.001302	
              0.002228	,             0.001796	
             -0.001485	,            -0.002955	
             -0.000805	,             0.000079	
              0.003411	,             0.005318	
              0.005084	,             0.000401	
             -0.000669	,            -0.000121	
              0.004544	,            -0.000653	
             -0.000372	,            -0.004224	
             -0.002064	,            -0.003895	
              0.000799	,            -0.001040	
              0.006511	,             0.000800	
              0.004288	,             0.006027	
              0.000730	,            -0.003971	
             -0.002313	,             0.002949	
             -0.000625	,            -0.000788	
             -0.006347	,             0.000213	
             -0.005648	,             0.003242	
             -0.006300	,             0.005939	
              0.000624	,            -0.003545	
              0.003301	,            -0.002375	
             -0.002624	,            -0.003404	
             -0.001953	,             0.001824	
             -0.001296	,            -0.000890	
              0.000370	,             0.003325	
             -0.002523	,             0.001113	
             -0.001026	,             0.001777	
             -0.000718	,            -0.001286	
              0.002137	,            -0.002996	
              0.002449	,            -0.001487	
              0.000740	,             0.000694	
             -0.001656	,             0.001854	
              0.001370	,             0.003703	
              0.000167	,            -0.000193	
              0.000496	,             0.002339	
              0.001499	,             0.000139	
             -0.000202	,             0.001322	
             -0.000046	,             0.002343	
             -0.002936	,            -0.002217	
             -0.001949	,             0.000828	
              0.000413	,             0.002519	
              0.001407	,             0.000998	
              0.002073	,             0.001338	
              0.002230	,             0.001672	
              0.001542	,            -0.002556	
             -0.000839	,             0.001506	
              0.002874	,            -0.001024	
              0.005911	,            -0.003215	
              0.000335	,            -0.002866	
              0.005582	,             0.001374	
             -0.000835	,            -0.000299	
              0.000016	,            -0.001801	
             -0.000645	,            -0.002974	
             -0.001311	,            -0.001786	
              0.001748	,             0.003306	
              0.004634	,             0.006875	
              0.002113	,            -0.000047	
             -0.002110	,            -0.002734	
             -0.000410	,             0.001515	
              0.001118	,             0.000863	
             -0.001078	,             0.000209	
             -0.002253	,            -0.001466	
              0.000300	,            -0.000933	
             -0.000027	,             0.001638	
             -0.005092	,            -0.003410	
             -0.000185	,             0.000167	
             -0.001874	,            -0.002858	
             -0.000186	,             0.000038	
             -0.000690	,            -0.001461	
             -0.001869	,             0.001607	
             -0.004734	,            -0.000406	
              0.001037	,            -0.006136	
              0.001891	,             0.001665	
             -0.003341	,            -0.001355	
              0.004454	,            -0.000493	
              0.007509	,             0.005454	
              0.001265	,             0.002429	
              0.002119	,             0.001770	
             -0.003788	,             0.003826	
              0.004682	,             0.004358	
             -0.000887	,             0.000321	
              0.002165	,            -0.001175	
             -0.006285	,            -0.004199	
             -0.003066	,            -0.003841	
             -0.002045	,            -0.002814	
              0.000667	,            -0.004494	
              0.001516	,            -0.005499	
              0.006763	,            -0.001264	
             -0.002529	,             0.001795	
              0.003732	,             0.003508	
             -0.001845	,             0.004031	
             -0.000822	,             0.006253	
              0.000028	,             0.002376	
             -0.002510	,             0.000863	
             -0.003183	,            -0.003356	
              0.000370	,             0.001898	
             -0.002681	,             0.001235	
             -0.002177	,             0.001758	
             -0.003703	,            -0.002290	
             -0.001509	,            -0.003806	
             -0.006248	,             0.002296	
             -0.003218	,             0.004839	
             -0.003739	,            -0.002090	
              0.002003	,             0.000627	
             -0.001739	,            -0.000215	
              0.001801	,            -0.003922	
              0.003481	,            -0.003236	
              0.001776	,            -0.006278	
              0.002264	,            -0.003403	
              0.001067	,             0.003363	
             -0.000975	,            -0.001206	
              0.000865	,            -0.003752	
             -0.000849	,            -0.004438	
              0.003536	,             0.001990	
              0.003012	,             0.002824	
              0.004519	,             0.002131	
              0.001459	,             0.001444	
              0.000262	,             0.001948	
              0.001268	,             0.000254	
             -0.003309	,            -0.001272	
              0.000912	,            -0.000099	
             -0.000797	,            -0.000449	
             -0.001319	,             0.003094	
              0.001719	,            -0.001140	
             -0.003027	,             0.000540	
              0.002733	,             0.002050	
             -0.000997	,            -0.004890	
              0.001013	,            -0.003893	
             -0.000696	,            -0.001207	
              0.002157	,            -0.002067	
             -0.001409	,             0.001637	
              0.002802	,             0.002286	
             -0.000086	,             0.003951	
              0.000401	,             0.004434	
              0.001573	,             0.002892	
             -0.000466	,             0.005071	
             -0.006220	,            -0.001383	
             -0.000306	,            -0.007834	
             -0.002506	,            -0.001939	
             -0.001837	,            -0.005679	
             -0.000144	,            -0.000789	
              0.002728	,             0.002238	
             -0.000826	,             0.000533	
             -0.000494	,            -0.002025	
              0.002383	,            -0.001711	
              0.001367	,            -0.003767	
              0.001706	,            -0.002774	
             -0.001341	,             0.001763	
             -0.001001	,             0.000048	
              0.002213	,             0.002896	
              0.001881	,             0.000332	
             -0.001670	,            -0.002734	
              0.004434	,             0.001982	
              0.000212	,            -0.002265	
              0.000901	,             0.001777	
             -0.001114	,             0.000241	
              0.000594	,             0.001410	
             -0.002265	,             0.002582	
             -0.001746	,             0.001560	
              0.002496	,             0.004774	
              0.003016	,             0.002745	
             -0.001713	,            -0.003009	
             -0.000004	,             0.004770	
             -0.002863	,             0.003752	
              0.000705	,             0.001043	
             -0.001473	,            -0.004873	
             -0.002643	,            -0.004185	
             -0.001613	,            -0.003499	
             -0.002618	,             0.003449	
              0.002477	,             0.000751	
              0.004522	,            -0.003474	
             -0.001206	,            -0.001264	
             -0.001866	,             0.000780	
             -0.008278	,             0.001311	
              0.004604	,            -0.001540	
              0.006490	,             0.004233	
              0.004830	,             0.003583	
              0.004003	,             0.000217	
              0.002503	,             0.000916	
              0.001170	,             0.003987	
              0.000008	,             0.002317	
              0.001040	,            -0.001211	
             -0.001979	,            -0.003381	
             -0.001105	,            -0.001320	
             -0.003624	,             0.002260	
              0.000111	,             0.000088	
             -0.000552	,             0.004853	
             -0.001050	,             0.000644	
             -0.002730	,            -0.001031	
             -0.002221	,             0.000512	
             -0.001030	,            -0.002513	
              0.002868	,            -0.000462	
             -0.002877	,             0.001420	
             -0.000673	,             0.000425	
              0.001362	,             0.000776	
              0.001877	,             0.005023	
              0.000189	,             0.000814	
              0.001718	,             0.001344	
             -0.000479	,            -0.000154	
