RightTrapeziusdescendens,LeftTrapeziusdescendens
                  0.057707	,                 0.006748	
                  0.064012	,                 0.004760	
                  0.069693	,                 0.027332	
                  0.063455	,                 0.030273	
                  0.057883	,                 0.043941	
                  0.052920	,                 0.046247	
                  0.048395	,                 0.030725	
                  0.020874	,                 0.008406	
                 -0.025280	,                -0.012079	
                 -0.068481	,                -0.025352	
                 -0.153237	,                -0.037171	
                 -0.212045	,                -0.043190	
                 -0.219192	,                -0.044650	
                 -0.143204	,                -0.038537	
                 -0.074945	,                -0.029611	
                 -0.047526	,                -0.021566	
                 -0.023020	,                -0.017066	
                 -0.000894	,                -0.012898	
                  0.018922	,                 0.000015	
                  0.048291	,                 0.025652	
                  0.053560	,                 0.036697	
                  0.067749	,                 0.027162	
                  0.071894	,                 0.018688	
                  0.067810	,                 0.010933	
                  0.056959	,                 0.004050	
                  0.053794	,                -0.011052	
                  0.027136	,                -0.020684	
                  0.009682	,                -0.018328	
                 -0.025546	,                -0.006075	
                 -0.038600	,                -0.004145	
                 -0.032980	,                -0.002400	
                 -0.043460	,                -0.003194	
                 -0.052821	,                -0.006005	
                 -0.054586	,                -0.010843	
                 -0.044495	,                -0.011292	
                 -0.018823	,                -0.010066	
                 -0.008185	,                -0.011915	
                  0.013172	,                -0.015180	
                  0.032585	,                -0.010763	
                  0.045063	,                -0.010090	
                  0.047326	,                -0.013446	
                  0.029120	,                -0.014399	
                  0.017101	,                -0.007737	
                  0.010883	,                 0.006508	
                 -0.006988	,                 0.025093	
                 -0.033405	,                 0.022888	
                 -0.036163	,                 0.025233	
                 -0.051669	,                 0.019293	
                 -0.071424	,                 0.006435	
                 -0.078468	,                 0.001524	
                 -0.114277	,                 0.000156	
                 -0.128639	,                -0.001033	
                 -0.090624	,                 0.009878	
                 -0.036763	,                 0.021231	
                 -0.001067	,                 0.019711	
                  0.018153	,                 0.021059	
                  0.035290	,                 0.012274	
                  0.040135	,                -0.002557	
                  0.053902	,                -0.016675	
                  0.075013	,                -0.018444	
                  0.070219	,                -0.003223	
                  0.065747	,                -0.001225	
                  0.068031	,                 0.004294	
                  0.040307	,                -0.004181	
                  0.028997	,                -0.024055	
                  0.031773	,                -0.037589	
                  0.016617	,                -0.044643	
                  0.013664	,                -0.046609	
                  0.015758	,                -0.048396	
                  0.022029	,                -0.038878	
                  0.023750	,                -0.026862	
                  0.017973	,                -0.019098	
                  0.002694	,                -0.006516	
                 -0.019718	,                 0.005320	
                 -0.022536	,                 0.003778	
                 -0.030570	,                 0.007786	
                 -0.057442	,                 0.013935	
                 -0.067829	,                 0.006048	
                 -0.051159	,                 0.006944	
                 -0.059667	,                 0.007673	
                 -0.056710	,                 0.005028	
                 -0.039322	,                 0.014867	
                 -0.028146	,                 0.016069	
                 -0.030149	,                 0.014743	
                 -0.024585	,                 0.031620	
                 -0.016174	,                 0.068469	
                 -0.008593	,                 0.094543	
                 -0.001680	,                 0.079734	
                  0.012119	,                 0.048635	
                  0.017599	,                 0.012460	
                  0.022567	,                -0.021378	
                  0.014880	,                -0.052056	
                 -0.000324	,                -0.071846	
                  0.001707	,                -0.068136	
                  0.014648	,                -0.058204	
                  0.026328	,                -0.037385	
                  0.033707	,                -0.007412	
                  0.034800	,                 0.004228	
                  0.025754	,                 0.007538	
                  0.019903	,                -0.002492	
                  0.003971	,                 0.006101	
                 -0.002820	,                 0.014019	
                  0.003018	,                 0.016218	
                  0.008365	,                 0.009479	
                  0.019964	,                 0.011361	
                  0.036591	,                 0.005620	
                  0.051821	,                 0.003773	
                  0.053578	,                -0.007062	
                  0.062680	,                -0.000318	
                  0.050831	,                 0.005717	
                  0.028062	,                 0.006508	
                  0.031489	,                 0.003256	
                  0.040442	,                 0.000352	
                  0.032507	,                -0.005755	
                  0.015494	,                -0.012866	
                  0.017848	,                -0.013906	
                  0.019951	,                -0.013259	
                  0.010725	,                -0.017164	
                 -0.014441	,                -0.016645	
                 -0.068588	,                -0.026240	
                 -0.075858	,                -0.016673	
                 -0.054191	,                -0.015520	
                 -0.034721	,                -0.009952	
                 -0.028879	,                -0.006908	
                 -0.076599	,                 0.003419	
                 -0.082686	,                 0.015927	
                 -0.053248	,                 0.020946	
                 -0.037284	,                 0.019327	
                 -0.022906	,                 0.015192	
                 -0.018454	,                 0.006381	
                  0.009425	,                 0.005420	
                  0.012959	,                -0.001726	
                  0.022758	,                -0.007994	
                  0.014036	,                -0.005272	
                 -0.010399	,                 0.000166	
                 -0.032945	,                 0.005289	
                 -0.041189	,                 0.009748	
                 -0.027043	,                 0.001173	
                 -0.033909	,                 0.002538	
                 -0.013367	,                 0.008276	
                 -0.010530	,                 0.017877	
                 -0.008110	,                 0.016776	
                 -0.005931	,                 0.015814	
                 -0.008038	,                 0.031599	
                  0.004793	,                 0.033842	
                  0.029812	,                 0.031869	
                  0.062099	,                 0.033821	
                  0.092152	,                 0.025525	
                  0.111303	,                 0.002722	
                  0.114114	,                -0.000254	
                  0.116648	,                -0.020796	
                  0.101206	,                -0.028614	
                  0.076144	,                -0.015937	
                  0.043417	,                -0.009185	
                  0.006946	,                -0.011074	
                 -0.036578	,                -0.000608	
                 -0.112579	,                 0.001556	
                 -0.163942	,                 0.017061	
                 -0.191439	,                 0.019346	
                 -0.164699	,                 0.017748	
                 -0.140650	,                 0.012932	
                 -0.104639	,                 0.008620	
                 -0.072008	,                -0.000779	
                 -0.018959	,                 0.005719	
                  0.030700	,                 0.009156	
                  0.049854	,                 0.004123	
                  0.055457	,                -0.002104	
                  0.071111	,                -0.013065	
                  0.075554	,                -0.023536	
                  0.079599	,                -0.030311	
                  0.090991	,                -0.023949	
                  0.101322	,                -0.016083	
                  0.097661	,                -0.008732	
                  0.088511	,                 0.005388	
                  0.069138	,                 0.036104	
                  0.056547	,                 0.058230	
                  0.036109	,                 0.030458	
                 -0.004907	,                -0.009496	
                 -0.045586	,                -0.046592	
                 -0.050565	,                -0.080333	
                 -0.064642	,                -0.075872	
                 -0.068731	,                -0.071943	
                 -0.088311	,                -0.061106	
                 -0.113210	,                -0.051317	
                 -0.115966	,                -0.030559	
                 -0.070734	,                -0.011494	
                 -0.012401	,                 0.000798	
                  0.026508	,                -0.001454	
                  0.075881	,                 0.000485	
                  0.094742	,                 0.020814	
                  0.100117	,                 0.034363	
                  0.104981	,                 0.036549	
                  0.109348	,                 0.056649	
                  0.104587	,                 0.059150	
                  0.084307	,                 0.051677	
                  0.087494	,                 0.022216	
                  0.044314	,                 0.002045	
                 -0.032068	,                -0.016270	
                 -0.083920	,                -0.032912	
                 -0.111994	,                -0.041980	
                 -0.137445	,                -0.044957	
                 -0.082922	,                -0.032878	
                 -0.047484	,                -0.022010	
                 -0.041122	,                -0.020293	
                 -0.011964	,                -0.011304	
                 -0.027960	,                 0.003610	
                 -0.061822	,                 0.013477	
                 -0.092657	,                 0.011357	
                 -0.064771	,                 0.012822	
                 -0.039445	,                 0.011103	
                 -0.023106	,                 0.012238	
                 -0.031958	,                 0.008247	
                 -0.062118	,                 0.011133	
                 -0.073995	,                 0.009766	
                 -0.055868	,                 0.012133	
                 -0.019424	,                 0.005927	
                  0.004871	,                 0.010943	
                  0.027025	,                 0.021420	
                  0.039083	,                 0.044285	
                  0.050154	,                 0.047380	
                  0.053611	,                 0.038469	
                  0.038922	,                 0.024668	
                  0.041788	,                 0.002243	
                  0.049154	,                -0.024913	
                  0.047010	,                -0.028527	
                  0.040946	,                -0.031765	
                  0.057661	,                -0.028877	
                  0.068721	,                -0.020767	
                  0.074619	,                -0.013520	
                  0.079950	,                -0.006962	
                  0.067823	,                -0.000904	
                  0.059923	,                 0.008410	
                  0.052745	,                 0.016919	
                  0.041199	,                 0.009398	
                  0.027163	,                 0.005457	
                  0.002871	,                -0.005717	
                 -0.000332	,                 0.005122	
                 -0.015095	,                 0.026116	
                 -0.044986	,                 0.023410	
                 -0.048556	,                 0.031664	
                 -0.059056	,                 0.024515	
                 -0.042363	,                 0.013479	
                 -0.015044	,                 0.003441	
                  0.010546	,                -0.009454	
                  0.027172	,                -0.011005	
                  0.036193	,                -0.015435	
                  0.050114	,                -0.013965	
                  0.037889	,                -0.005050	
                  0.017594	,                -0.008146	
                 -0.012565	,                -0.017513	
                 -0.056618	,                 0.001536	
                 -0.085944	,                 0.020761	
                 -0.070030	,                 0.023251	
                 -0.084331	,                 0.016800	
                 -0.122764	,                 0.003421	
                 -0.109383	,                -0.010623	
                 -0.097356	,                -0.019732	
                 -0.042542	,                -0.034771	
                  0.028203	,                -0.016181	
                  0.056883	,                 0.016257	
                  0.083030	,                 0.047145	
                  0.091051	,                 0.051123	
                  0.069906	,                 0.040372	
                  0.050729	,                 0.004096	
                  0.021528	,                -0.029624	
                 -0.026437	,                -0.051507	
                 -0.058638	,                -0.063253	
                 -0.075927	,                -0.059606	
                 -0.070512	,                -0.043108	
                 -0.036491	,                -0.028138	
                 -0.014296	,                -0.008961	
                  0.013789	,                 0.003413	
                  0.017457	,                 0.001201	
                  0.014317	,                -0.000873	
                  0.035216	,                -0.010242	
                  0.059990	,                -0.008614	
                  0.083030	,                -0.010190	
                  0.091792	,                -0.006185	
                  0.105354	,                -0.007415	
                  0.092807	,                -0.006445	
                  0.058864	,                -0.007517	
                  0.034331	,                -0.006730	
                  0.003147	,                -0.000886	
                 -0.017217	,                -0.001646	
                 -0.043048	,                 0.003151	
                 -0.066528	,                 0.011314	
                 -0.094083	,                 0.021493	
                 -0.119907	,                 0.042177	
                 -0.103847	,                 0.050877	
                 -0.071124	,                 0.042667	
                 -0.049360	,                 0.040231	
