RightLatissimusDorsi,LeftLatissimusDorsi
             -0.006283	,            -0.028847	
             -0.008104	,            -0.026514	
             -0.013412	,             0.002385	
             -0.011458	,             0.037602	
             -0.009686	,             0.041476	
             -0.005445	,             0.045006	
             -0.004102	,             0.032423	
             -0.007123	,             0.013828	
             -0.012119	,             0.010257	
             -0.011028	,             0.001136	
             -0.001429	,             0.019653	
              0.004875	,             0.021429	
              0.001738	,             0.009862	
              0.002822	,             0.007511	
              0.000213	,            -0.001921	
             -0.002193	,            -0.003614	
             -0.007259	,             0.003898	
             -0.008616	,            -0.002354	
             -0.003604	,             0.010043	
              0.004701	,             0.014991	
             -0.000817	,             0.001000	
              0.000233	,             0.002747	
             -0.004245	,             0.004343	
              0.001694	,             0.002756	
             -0.003477	,             0.001371	
              0.001444	,             0.005085	
             -0.006758	,            -0.000508	
             -0.001137	,             0.000508	
             -0.002098	,            -0.002201	
              0.002469	,             0.000348	
             -0.000062	,            -0.000310	
              0.003619	,             0.001739	
              0.000045	,            -0.007716	
             -0.005681	,            -0.000755	
              0.004230	,             0.015693	
              0.002808	,             0.013533	
              0.001574	,             0.011551	
              0.004699	,             0.009749	
             -0.004793	,             0.018272	
              0.001399	,             0.010719	
              0.000320	,            -0.004433	
             -0.000751	,            -0.022814	
              0.000022	,            -0.040000	
             -0.012800	,            -0.033328	
             -0.007240	,            -0.010751	
              0.004487	,             0.010144	
              0.008903	,             0.029344	
             -0.000821	,             0.046681	
              0.012865	,             0.048962	
              0.018214	,             0.022478	
              0.009591	,             0.011728	
             -0.001167	,             0.034791	
             -0.008148	,             0.031968	
              0.003062	,             0.007351	
              0.004452	,             0.017255	
              0.000296	,            -0.009732	
             -0.003497	,            -0.064308	
             -0.011288	,            -0.009631	
             -0.001896	,             0.040115	
              0.004224	,             0.020822	
              0.000892	,            -0.020141	
             -0.004430	,            -0.046718	
             -0.007187	,            -0.090392	
             -0.014963	,            -0.131376	
             -0.011917	,            -0.083392	
              0.002068	,            -0.051150	
              0.004012	,            -0.010279	
              0.005774	,             0.005566	
              0.003988	,             0.010232	
              0.011462	,             0.014561	
             -0.001095	,             0.010585	
              0.003903	,            -0.000348	
             -0.003743	,            -0.010263	
              0.000258	,            -0.013246	
             -0.000977	,             0.000350	
             -0.006572	,             0.002607	
             -0.011788	,             0.013650	
             -0.005373	,             0.011485	
              0.002334	,             0.013194	
              0.007485	,             0.018135	
              0.010101	,             0.022566	
              0.005815	,             0.021071	
              0.007942	,             0.014667	
              0.009875	,             0.017724	
              0.000357	,             0.014520	
              0.004353	,             0.009800	
              0.005456	,             0.008793	
             -0.000186	,             0.013871	
              0.000771	,             0.005918	
             -0.002006	,             0.017263	
              0.002125	,             0.009480	
             -0.004874	,             0.005232	
              0.001448	,             0.003848	
             -0.001174	,            -0.001953	
             -0.000601	,             0.000879	
             -0.000033	,             0.001535	
             -0.001827	,             0.000513	
              0.002102	,             0.004076	
             -0.002749	,             0.000373	
              0.001347	,             0.001902	
             -0.001657	,             0.005764	
             -0.005337	,             0.000827	
             -0.002458	,             0.003693	
             -0.003807	,             0.000635	
              0.001083	,            -0.001073	
             -0.002631	,            -0.002423	
              0.000221	,            -0.005481	
              0.007610	,            -0.001461	
              0.008411	,            -0.001098	
              0.010899	,            -0.001692	
              0.004822	,            -0.002116	
             -0.000532	,            -0.004244	
             -0.011247	,            -0.003324	
             -0.034179	,            -0.005787	
             -0.017769	,            -0.010955	
             -0.014889	,            -0.014497	
             -0.006759	,            -0.011358	
             -0.004360	,            -0.007127	
