RightC4Paraspinal,LeftC4Paraspinal
           0.032752	,          0.005317	
           0.049388	,         -0.008171	
           0.040964	,         -0.063954	
           0.027802	,         -0.085473	
          -0.003600	,         -0.076639	
          -0.007036	,         -0.042977	
          -0.025795	,         -0.001125	
          -0.042501	,          0.068400	
          -0.057340	,          0.096694	
          -0.041074	,          0.088035	
          -0.009911	,          0.080314	
           0.018751	,          0.059319	
           0.037441	,          0.040572	
           0.021814	,          0.035451	
          -0.004165	,          0.020328	
          -0.021037	,         -0.002899	
          -0.023040	,         -0.032414	
          -0.021647	,         -0.044263	
          -0.017595	,         -0.054695	
          -0.030035	,         -0.056862	
          -0.026478	,         -0.058688	
          -0.018802	,         -0.060159	
          -0.019767	,         -0.045204	
          -0.024276	,         -0.041701	
          -0.035014	,         -0.038497	
          -0.029518	,         -0.027503	
          -0.027303	,         -0.024782	
          -0.030100	,         -0.029008	
          -0.039415	,         -0.032747	
          -0.050804	,         -0.038770	
          -0.054688	,         -0.034140	
          -0.058059	,         -0.018507	
          -0.036269	,         -0.015877	
          -0.008498	,         -0.017209	
           0.010034	,         -0.021753	
           0.020090	,         -0.019775	
           0.005482	,         -0.015357	
          -0.013315	,         -0.008819	
          -0.025253	,         -0.005374	
          -0.009427	,         -0.006217	
          -0.011209	,         -0.003430	
           0.012995	,          0.002480	
           0.029235	,          0.012328	
           0.020300	,          0.016195	
           0.006548	,          0.014809	
          -0.000744	,          0.006873	
           0.023715	,          0.001488	
           0.033179	,          0.000467	
           0.012169	,         -0.009123	
           0.003883	,         -0.005570	
          -0.008569	,         -0.006766	
          -0.002144	,         -0.007974	
           0.003722	,         -0.005502	
           0.001614	,         -0.001587	
          -0.010420	,         -0.013313	
          -0.009137	,         -0.015198	
          -0.013414	,         -0.010824	
          -0.002398	,          0.001447	
          -0.004229	,          0.002925	
          -0.003194	,         -0.014098	
          -0.022307	,         -0.020797	
          -0.036046	,         -0.039242	
          -0.053196	,         -0.027007	
          -0.028553	,          0.006283	
          -0.005787	,         -0.008376	
          -0.026714	,          0.013176	
          -0.024159	,          0.024504	
          -0.007165	,          0.034734	
           0.008045	,          0.024410	
           0.017796	,          0.003242	
           0.015551	,         -0.005157	
           0.020223	,          0.031563	
           0.042707	,          0.068084	
           0.091466	,          0.072144	
           0.083634	,          0.014510	
           0.024945	,          0.021991	
           0.001456	,          0.028793	
          -0.033966	,         -0.016375	
          -0.065944	,         -0.057051	
          -0.059888	,         -0.051565	
          -0.054354	,          0.011410	
          -0.039735	,          0.037033	
           0.017525	,          0.029056	
           0.056311	,          0.035950	
           0.077239	,          0.042162	
           0.108984	,          0.024677	
           0.067743	,          0.008842	
           0.041035	,          0.023216	
           0.026587	,          0.036352	
           0.022153	,          0.032426	
           0.026015	,          0.028860	
           0.022465	,          0.019100	
           0.006184	,          0.004359	
          -0.002426	,         -0.009091	
          -0.004937	,         -0.011175	
          -0.002393	,         -0.004329	
          -0.013314	,         -0.014181	
          -0.015078	,         -0.015751	
          -0.012974	,         -0.017152	
          -0.011081	,         -0.024439	
          -0.015424	,         -0.025470	
          -0.013863	,         -0.023972	
          -0.014828	,         -0.031398	
          -0.017797	,         -0.025834	
          -0.018564	,         -0.020962	
          -0.015627	,         -0.018153	
          -0.019609	,         -0.017216	
          -0.018686	,         -0.010554	
          -0.013554	,         -0.007796	
          -0.015029	,         -0.008253	
          -0.015324	,         -0.015791	
          -0.014621	,         -0.010344	
          -0.007540	,         -0.011004	
          -0.008422	,         -0.008281	
          -0.003717	,         -0.014967	
           0.000629	,         -0.008352	
           0.002925	,         -0.007299	
           0.001032	,         -0.001852	
           0.003553	,         -0.000478	
           0.007978	,          0.004575	
           0.005332	,          0.001683	
          -0.002185	,          0.002342	
          -0.009650	,          0.007264	
          -0.018756	,          0.003264	
          -0.019549	,         -0.000557	
          -0.018177	,          0.003129	
          -0.023161	,          0.006273	
          -0.016593	,          0.008352	
          -0.015693	,          0.005809	
          -0.020918	,          0.011013	
          -0.013168	,          0.020926	
           0.000481	,          0.014006	
           0.009729	,          0.002729	
           0.021502	,         -0.020192	
           0.016889	,         -0.023353	
           0.012801	,         -0.014596	
           0.011617	,         -0.011954	
           0.008402	,          0.000262	
           0.007354	,          0.006704	
           0.006409	,          0.008555	
           0.003720	,          0.010265	
           0.007266	,         -0.001643	
           0.005067	,         -0.009334	
           0.001827	,         -0.008071	
          -0.002441	,         -0.004468	
           0.005063	,          0.005674	
           0.015059	,          0.012408	
           0.018777	,          0.011007	
           0.012205	,          0.018536	
           0.010902	,          0.017244	
           0.011617	,          0.014259	
           0.006787	,          0.016521	
           0.005703	,          0.009362	
           0.000235	,          0.011830	
           0.004906	,          0.012445	
           0.000464	,          0.007007	
           0.001964	,          0.008854	
           0.009542	,          0.005663	
           0.010376	,          0.001499	
           0.005012	,          0.003939	
           0.007594	,          0.005030	
           0.009994	,          0.002905	
           0.006135	,         -0.002915	
           0.013750	,          0.001252	
           0.002126	,         -0.010243	
          -0.017858	,         -0.025393	
          -0.026049	,         -0.023380	
          -0.058392	,         -0.025266	
          -0.062809	,         -0.033757	
          -0.058917	,         -0.038375	
          -0.062440	,         -0.053670	
          -0.052593	,         -0.051702	
          -0.043753	,         -0.049890	
          -0.041000	,         -0.027923	
          -0.003753	,         -0.013049	
           0.033459	,          0.011623	
           0.057619	,          0.021431	
           0.070819	,          0.006547	
           0.074764	,          0.003855	
           0.041988	,          0.006216	
           0.020010	,          0.017361	
           0.016125	,          0.047966	
           0.019715	,          0.061134	
           0.009961	,          0.072938	
          -0.010769	,          0.047486	
          -0.040807	,          0.030995	
          -0.036836	,          0.022149	
          -0.003939	,          0.024835	
           0.026942	,         -0.012365	
           0.023170	,         -0.038869	
           0.012481	,         -0.014616	
           0.022442	,         -0.018936	
           0.031380	,         -0.014974	
           0.045214	,         -0.004096	
           0.038052	,         -0.000825	
           0.026973	,          0.008030	
           0.020962	,          0.010799	
           0.008037	,          0.028106	
           0.013229	,          0.030369	
          -0.000511	,          0.020308	
          -0.009678	,          0.007391	
          -0.001093	,          0.009213	
          -0.005574	,          0.007835	
          -0.004146	,          0.003931	
          -0.015412	,         -0.004722	
          -0.022916	,         -0.014943	
          -0.029750	,         -0.021809	
          -0.040985	,         -0.025472	
          -0.033262	,         -0.024403	
          -0.020647	,         -0.014901	
          -0.001946	,         -0.008607	
           0.005403	,         -0.018903	
           0.007694	,         -0.025799	
           0.001732	,         -0.024579	
          -0.003680	,         -0.016750	
          -0.022110	,         -0.005213	
          -0.024324	,          0.005481	
          -0.026391	,          0.018053	
          -0.032414	,          0.029928	
          -0.027949	,          0.018958	
          -0.026043	,          0.008337	
          -0.020910	,         -0.004160	
          -0.003921	,         -0.012571	
           0.025437	,         -0.001858	
           0.045448	,         -0.011448	
           0.020110	,         -0.010203	
          -0.002848	,         -0.013331	
           0.012078	,          0.002466	
           0.031229	,          0.013667	
           0.038534	,          0.011644	
           0.022948	,          0.013504	
           0.012707	,          0.011805	
           0.003284	,          0.025660	
           0.001451	,          0.027492	
          -0.006329	,          0.012218	
          -0.005169	,         -0.002072	
          -0.014185	,         -0.015176	
          -0.026908	,         -0.030481	
          -0.032159	,         -0.028518	
          -0.033813	,         -0.030475	
          -0.018730	,         -0.025521	
          -0.008727	,         -0.008707	
           0.004155	,         -0.006598	
           0.019230	,         -0.000588	
           0.025193	,          0.004933	
           0.012037	,          0.013366	
           0.000064	,          0.002690	
          -0.013927	,         -0.009840	
          -0.015889	,         -0.021690	
          -0.007514	,         -0.032352	
           0.015386	,         -0.033719	
           0.018482	,         -0.037462	
           0.015472	,         -0.020408	
          -0.009380	,          0.011855	
          -0.006312	,          0.024967	
          -0.003608	,          0.028728	
          -0.006477	,          0.025033	
           0.000659	,          0.034701	
          -0.001676	,          0.025752	
           0.008328	,          0.028321	
          -0.004825	,          0.010948	
          -0.030284	,          0.008666	
          -0.048458	,          0.002491	
          -0.051746	,          0.004257	
          -0.036930	,         -0.004272	
          -0.017867	,         -0.008875	
           0.014401	,          0.006353	
           0.018804	,          0.008403	
           0.038842	,          0.002878	
           0.028128	,          0.008048	
           0.025074	,         -0.002550	
           0.016450	,         -0.001177	
           0.041309	,          0.015266	
           0.057848	,          0.013081	
           0.049162	,          0.002928	
           0.041128	,          0.012200	
           0.023879	,          0.010493	
           0.003576	,          0.018089	
           0.000880	,          0.014034	
           0.018183	,          0.012874	
           0.020447	,          0.020688	
           0.022532	,          0.015493	
           0.020745	,          0.014709	
           0.015716	,          0.001958	
           0.011165	,         -0.018334	
           0.004258	,         -0.026294	
           0.000565	,         -0.033470	
          -0.016494	,         -0.031240	
          -0.018843	,         -0.021149	
          -0.025445	,         -0.011904	
          -0.023422	,         -0.017061	
          -0.017813	,         -0.015606	
          -0.029601	,         -0.017004	
          -0.034098	,         -0.033463	
          -0.038043	,         -0.026972	
          -0.044188	,         -0.025076	
          -0.054445	,         -0.015881	
          -0.050375	,         -0.017666	
          -0.031426	,         -0.016240	
          -0.017712	,         -0.014958	
           0.004663	,         -0.003651	
           0.019624	,          0.006992	
           0.016982	,          0.027772	
           0.029378	,          0.048555	
           0.022817	,          0.045837	
           0.008658	,          0.038574	
           0.010570	,          0.040799	
           0.029218	,          0.030673	
           0.026892	,          0.021396	
           0.011356	,          0.002797	
           0.009361	,          0.000421	
           0.011238	,          0.006987	
           0.006170	,         -0.003197	
          -0.004489	,         -0.016278	
          -0.014101	,         -0.028158	
          -0.032981	,         -0.026674	
          -0.063007	,         -0.039238	
          -0.066814	,         -0.051100	
          -0.070321	,         -0.028110	
          -0.053865	,         -0.005120	
          -0.025224	,         -0.017144	
           0.013897	,         -0.002265	
           0.040496	,          0.016840	
           0.054933	,          0.029169	
           0.077017	,          0.017989	
           0.057114	,          0.015959	
           0.046307	,          0.010393	
           0.023289	,          0.001953	
           0.008381	,         -0.005644	
           0.000243	,         -0.015271	
          -0.017024	,         -0.021514	
          -0.001463	,         -0.038565	
           0.016957	,         -0.075749	
           0.004606	,         -0.059801	
           0.006829	,         -0.016113	
           0.004817	,          0.024881	
           0.006690	,          0.072977	
           0.021966	,          0.066647	
           0.024093	,          0.072547	
           0.011155	,          0.056819	
          -0.000595	,          0.042635	
          -0.005060	,          0.038436	
          -0.025804	,          0.066522	
          -0.022878	,          0.070222	
           0.001831	,          0.040555	
           0.024835	,          0.012758	
           0.016007	,          0.002040	
           0.007796	,         -0.020843	
          -0.009548	,         -0.047783	
          -0.016162	,         -0.044091	
          -0.010056	,         -0.027513	
          -0.004421	,         -0.012485	
          -0.012815	,         -0.004220	
          -0.017276	,         -0.016426	
          -0.013092	,         -0.027416	
          -0.006708	,         -0.029225	
          -0.003369	,         -0.027108	
           0.004045	,         -0.021727	
           0.001539	,         -0.010804	
           0.004247	,         -0.006548	
          -0.002606	,         -0.005231	
          -0.001765	,          0.005189	
          -0.014657	,         -0.004399	
          -0.020292	,         -0.005563	
          -0.015274	,          0.000055	
           0.004603	,         -0.005139	
           0.023643	,         -0.004204	
