Frame,Time
     0	, 0.000	
     1	, 0.001	
     2	, 0.002	
     3	, 0.003	
     4	, 0.004	
     5	, 0.005	
     6	, 0.006	
     7	, 0.007	
     8	, 0.008	
     9	, 0.009	
    10	, 0.010	
    11	, 0.011	
    12	, 0.012	
    13	, 0.013	
    14	, 0.014	
    15	, 0.015	
    16	, 0.016	
    17	, 0.017	
    18	, 0.018	
    19	, 0.019	
    20	, 0.020	
    21	, 0.021	
    22	, 0.022	
    23	, 0.023	
    24	, 0.024	
    25	, 0.025	
    26	, 0.026	
    27	, 0.027	
    28	, 0.028	
    29	, 0.029	
    30	, 0.030	
    31	, 0.031	
    32	, 0.032	
    33	, 0.033	
    34	, 0.034	
    35	, 0.035	
    36	, 0.036	
    37	, 0.037	
    38	, 0.038	
    39	, 0.039	
    40	, 0.040	
    41	, 0.041	
    42	, 0.042	
    43	, 0.043	
    44	, 0.044	
    45	, 0.045	
    46	, 0.046	
    47	, 0.047	
    48	, 0.048	
    49	, 0.049	
    50	, 0.050	
    51	, 0.051	
    52	, 0.052	
    53	, 0.053	
    54	, 0.054	
    55	, 0.055	
    56	, 0.056	
    57	, 0.057	
    58	, 0.058	
    59	, 0.059	
    60	, 0.060	
    61	, 0.061	
    62	, 0.062	
    63	, 0.063	
    64	, 0.064	
    65	, 0.065	
    66	, 0.066	
    67	, 0.067	
    68	, 0.068	
    69	, 0.069	
    70	, 0.070	
    71	, 0.071	
    72	, 0.072	
    73	, 0.073	
    74	, 0.074	
    75	, 0.075	
    76	, 0.076	
    77	, 0.077	
    78	, 0.078	
    79	, 0.079	
    80	, 0.080	
    81	, 0.081	
    82	, 0.082	
    83	, 0.083	
    84	, 0.084	
    85	, 0.085	
    86	, 0.086	
    87	, 0.087	
    88	, 0.088	
    89	, 0.089	
    90	, 0.090	
    91	, 0.091	
    92	, 0.092	
    93	, 0.093	
    94	, 0.094	
    95	, 0.095	
    96	, 0.096	
    97	, 0.097	
    98	, 0.098	
    99	, 0.099	
   100	, 0.100	
   101	, 0.101	
   102	, 0.102	
   103	, 0.103	
   104	, 0.104	
   105	, 0.105	
   106	, 0.106	
   107	, 0.107	
   108	, 0.108	
   109	, 0.109	
   110	, 0.110	
   111	, 0.111	
   112	, 0.112	
   113	, 0.113	
   114	, 0.114	
   115	, 0.115	
   116	, 0.116	
   117	, 0.117	
   118	, 0.118	
   119	, 0.119	
   120	, 0.120	
   121	, 0.121	
   122	, 0.122	
   123	, 0.123	
   124	, 0.124	
   125	, 0.125	
   126	, 0.126	
   127	, 0.127	
   128	, 0.128	
   129	, 0.129	
   130	, 0.130	
   131	, 0.131	
   132	, 0.132	
   133	, 0.133	
   134	, 0.134	
   135	, 0.135	
   136	, 0.136	
   137	, 0.137	
   138	, 0.138	
   139	, 0.139	
   140	, 0.140	
   141	, 0.141	
   142	, 0.142	
   143	, 0.143	
   144	, 0.144	
   145	, 0.145	
   146	, 0.146	
   147	, 0.147	
   148	, 0.148	
   149	, 0.149	
   150	, 0.150	
   151	, 0.151	
   152	, 0.152	
   153	, 0.153	
   154	, 0.154	
   155	, 0.155	
   156	, 0.156	
   157	, 0.157	
   158	, 0.158	
   159	, 0.159	
   160	, 0.160	
   161	, 0.161	
   162	, 0.162	
   163	, 0.163	
   164	, 0.164	
   165	, 0.165	
   166	, 0.166	
   167	, 0.167	
   168	, 0.168	
   169	, 0.169	
   170	, 0.170	
   171	, 0.171	
   172	, 0.172	
   173	, 0.173	
   174	, 0.174	
   175	, 0.175	
   176	, 0.176	
   177	, 0.177	
   178	, 0.178	
