RightTrapeziusdescendens,LeftTrapeziusdescendens
                  0.012282	,                 0.033859	
                 -0.017791	,                 0.019923	
                 -0.056729	,                -0.001977	
                 -0.103624	,                -0.045368	
                 -0.134577	,                -0.075287	
                 -0.138948	,                -0.067328	
                 -0.121786	,                -0.091036	
                 -0.077195	,                -0.140266	
                 -0.058933	,                -0.157126	
                 -0.021130	,                -0.184386	
                 -0.006259	,                -0.162506	
                  0.016049	,                -0.163375	
                  0.036180	,                -0.135486	
                  0.054289	,                -0.101786	
                  0.064012	,                -0.055874	
                  0.072636	,                -0.013861	
                  0.064378	,                 0.002755	
                  0.057031	,                 0.027168	
                  0.050416	,                 0.031714	
                  0.028046	,                 0.035666	
                  0.001287	,                 0.039199	
                 -0.001953	,                 0.048791	
                 -0.011395	,                 0.068972	
                 -0.031731	,                 0.060315	
                 -0.033989	,                 0.047625	
                 -0.035909	,                 0.045112	
                 -0.033272	,                 0.042779	
                 -0.022751	,                 0.044292	
                 -0.039024	,                 0.032276	
                 -0.040760	,                 0.033574	
                 -0.038322	,                 0.023806	
                 -0.032407	,                 0.004958	
                 -0.013626	,                -0.030160	
                  0.013605	,                -0.034300	
                  0.038806	,                -0.029407	
                  0.054923	,                -0.040608	
                  0.051771	,                -0.072345	
                  0.037857	,                -0.075623	
                  0.035299	,                -0.047059	
                  0.028507	,                -0.049958	
                  0.026264	,                -0.033139	
                 -0.001742	,                 0.011664	
                 -0.013640	,                 0.017821	
                  0.004266	,                 0.034786	
                  0.026930	,                 0.039523	
                  0.029426	,                 0.043675	
                  0.015406	,                 0.038700	
                 -0.002072	,                 0.018384	
                 -0.013408	,                 0.021540	
                 -0.011569	,                 0.043826	
                 -0.006184	,                 0.040229	
                 -0.008004	,                 0.052994	
                 -0.006581	,                 0.044840	
                 -0.010726	,                 0.010675	
                 -0.019562	,                -0.032966	
                 -0.025133	,                -0.050116	
                 -0.040682	,                -0.076035	
                 -0.046954	,                -0.080058	
                 -0.048610	,                -0.057579	
                 -0.031607	,                -0.029401	
