RightLatissimusDorsi,LeftLatissimusDorsi
             0.004424	 ,            0.006731	 
             0.008778	 ,           -0.000321	 
             0.009905	 ,           -0.006652	 
             0.000955	 ,           -0.019165	 
            -0.006917	 ,           -0.010779	 
             0.008603	 ,           -0.000261	 
             0.006203	 ,            0.003644	 
             0.003987	 ,            0.002294	 
            -0.005424	 ,            0.003149	 
            -0.000497	 ,            0.008193	 
             0.000873	 ,            0.012525	 
             0.002066	 ,            0.023373	 
             0.005600	 ,            0.024567	 
             0.004400	 ,            0.014672	 
            -0.005194	 ,           -0.004380	 
            -0.008999	 ,           -0.018099	 
            -0.001353	 ,           -0.015767	 
            -0.002494	 ,           -0.013619	 
             0.001922	 ,           -0.007617	 
             0.002616	 ,           -0.005860	 
             0.009346	 ,            0.005799	 
             0.015526	 ,            0.001083	 
             0.014443	 ,           -0.003091	 
             0.016386	 ,           -0.002040	 
             0.005548	 ,           -0.005367	 
            -0.008406	 ,            0.010162	 
             0.011860	 ,            0.030148	 
             0.025273	 ,            0.037882	 
             0.012731	 ,            0.044723	 
            -0.020903	 ,            0.024137	 
            -0.025591	 ,           -0.016997	 
            -0.021180	 ,           -0.022700	 
            -0.009383	 ,           -0.006838	 
             0.001365	 ,           -0.002187	 
             0.004439	 ,           -0.006643	 
             0.007121	 ,            0.005075	 
            -0.001168	 ,            0.015698	 
            -0.008560	 ,            0.012272	 
            -0.002069	 ,            0.009211	 
            -0.004181	 ,            0.017097	 
            -0.006130	 ,            0.009649	 
            -0.001154	 ,            0.011708	 
             0.009352	 ,            0.013631	 
             0.010590	 ,           -0.010548	 
             0.009328	 ,           -0.026856	 
             0.001463	 ,           -0.018011	 
            -0.001634	 ,           -0.009900	 
            -0.002441	 ,           -0.032103	 
             0.001835	 ,           -0.046757	 
             0.002511	 ,           -0.011030	 
             0.003186	 ,           -0.006271	 
             0.000150	 ,            0.006889	 
            -0.001553	 ,            0.010708	 
            -0.001085	 ,           -0.000144	 
             0.001929	 ,           -0.009921	 
             0.003131	 ,            0.004936	 
            -0.002585	 ,           -0.003157	 
            -0.000018	 ,           -0.000765	 
            -0.003694	 ,            0.001440	 
            -0.002973	 ,            0.003469	 
            -0.001240	 ,            0.005316	 
             0.002839	 ,            0.003633	 
             0.006411	 ,           -0.000882	 
            -0.000473	 ,            0.006064	 
            -0.001434	 ,            0.007247	 
            -0.000547	 ,            0.006225	 
            -0.003033	 ,            0.003176	 
            -0.003637	 ,            0.005882	 
             0.002829	 ,            0.005031	 
             0.003712	 ,            0.004357	 
             0.003083	 ,            0.002336	 
             0.007999	 ,            0.010612	 
             0.007512	 ,            0.011619	 
             0.004685	 ,            0.002171	 
            -0.003027	 ,           -0.009071	 
            -0.001954	 ,            0.007854	 
            -0.007110	 ,            0.010061	 
            -0.004292	 ,            0.004037	 
             0.004743	 ,            0.010991	 
             0.010698	 ,           -0.013065	 
            -0.000738	 ,           -0.016158	 
            -0.019192	 ,           -0.001260	 
             0.013125	 ,            0.001446	 
             0.035014	 ,           -0.000886	 
             0.046704	 ,            0.010266	 
             0.035780	 ,            0.028591	 
            -0.000515	 ,            0.021246	 
            -0.005137	 ,            0.018990	 
             0.008104	 ,            0.008839	 
            -0.003654	 ,           -0.018928	 
            -0.007095	 ,           -0.038652	 
            -0.029869	 ,           -0.013179	 
            -0.038429	 ,           -0.003330	 
             0.002731	 ,           -0.000411	 
            -0.002932	 ,            0.007699	 
            -0.050670	 ,            0.005323	 
            -0.056781	 ,           -0.005795	 
            -0.015747	 ,           -0.007755	 
            -0.010421	 ,           -0.013252	 
             0.003984	 ,           -0.014861	 
             0.025891	 ,           -0.004119	 
             0.037604	 ,            0.005570	 
             0.012197	 ,           -0.000603	 
            -0.024060	 ,           -0.003720	 
             0.000159	 ,           -0.000599	 
            -0.004202	 ,           -0.003225	 
            -0.000290	 ,            0.001065	 
            -0.003792	 ,            0.000427	 
            -0.000551	 ,            0.005351	 
             0.002318	 ,           -0.001535	 
            -0.005774	 ,           -0.007892	 
             0.001493	 ,           -0.005303	 
             0.003661	 ,           -0.007442	 
             0.005638	 ,           -0.008070	 
             0.007400	 ,           -0.001117	 
             0.002188	 ,           -0.005649	 
             0.003637	 ,            0.007188	 
             0.004970	 ,            0.009030	 
             0.001217	 ,            0.014063	 
             0.011437	 ,            0.006423	 
             0.007300	 ,           -0.003241	 
            -0.004059	 ,            0.005452	 
