RightC4Paraspinal,LeftC4Paraspinal
          -0.026397	,         -0.014481	
          -0.002532	,          0.005267	
           0.006895	,          0.007395	
           0.009426	,          0.009178	
           0.043568	,          0.012804	
           0.056430	,          0.005705	
           0.053244	,          0.035548	
           0.058945	,          0.082869	
           0.027756	,          0.075292	
          -0.003269	,          0.079870	
           0.000392	,          0.052390	
           0.010930	,          0.027499	
           0.000948	,          0.005031	
          -0.007937	,          0.000726	
          -0.016056	,          0.011048	
          -0.048085	,          0.013756	
          -0.069622	,          0.016117	
          -0.065339	,          0.007555	
          -0.032464	,         -0.005101	
           0.033195	,         -0.020800	
           0.079724	,          0.009437	
           0.104556	,          0.048498	
           0.095834	,          0.053035	
           0.059735	,          0.047647	
           0.027150	,          0.068845	
           0.021177	,          0.056364	
           0.026173	,          0.037823	
           0.011647	,          0.014585	
          -0.010319	,         -0.012453	
          -0.014153	,         -0.037579	
          -0.024792	,         -0.034131	
          -0.021356	,         -0.019111	
          -0.006362	,         -0.010901	
           0.012776	,          0.001435	
           0.010481	,         -0.000813	
           0.003961	,         -0.006914	
           0.005992	,         -0.016152	
           0.004212	,         -0.014403	
           0.005974	,         -0.003717	
          -0.001545	,          0.014320	
          -0.019516	,          0.007044	
          -0.031657	,         -0.013094	
          -0.042522	,         -0.026552	
          -0.044245	,         -0.028723	
          -0.053184	,         -0.039632	
          -0.034351	,         -0.045413	
          -0.007072	,         -0.028478	
           0.018171	,         -0.030447	
           0.027770	,         -0.016076	
           0.024689	,         -0.014082	
          -0.000062	,         -0.005554	
          -0.036240	,         -0.006997	
          -0.011986	,         -0.010929	
           0.001237	,         -0.022063	
           0.013067	,         -0.020370	
           0.031078	,         -0.007723	
           0.014656	,          0.000851	
          -0.006074	,          0.002419	
          -0.025008	,          0.017616	
          -0.037182	,          0.031706	
          -0.039216	,          0.025988	
          -0.024940	,          0.017359	
          -0.023018	,          0.021641	
          -0.007884	,          0.014416	
           0.010292	,          0.015304	
           0.027161	,          0.025279	
           0.055856	,          0.015328	
