RightTrapeziusdescendens,LeftTrapeziusdescendens
                 0.004673	 ,                0.017079	
                 0.021465	 ,                0.007858	
                 0.047254	 ,               -0.003832	
                 0.099435	 ,                0.003841	
                 0.133595	 ,                0.002565	
                 0.074355	 ,               -0.003561	
                 0.050357	 ,                0.002109	
                 0.028538	 ,                0.005206	
                -0.004039	 ,                0.011653	
                -0.056893	 ,                0.014230	
                -0.092137	 ,                0.012109	
                -0.085588	 ,                0.014216	
                -0.079830	 ,                0.023730	
                -0.064092	 ,                0.044401	
                -0.030698	 ,                0.071118	
                 0.034522	 ,                0.045577	
                 0.080645	 ,                0.009296	
                 0.088072	 ,               -0.033942	
                 0.079308	 ,               -0.062583	
                -0.013464	 ,               -0.067172	
                -0.051029	 ,               -0.061797	
                -0.016519	 ,               -0.065528	
                -0.006247	 ,               -0.053083	
                -0.034471	 ,               -0.034467	
                -0.059989	 ,               -0.011107	
                -0.082800	 ,                0.016124	
                -0.089403	 ,                0.005526	
                -0.056865	 ,               -0.010543	
                -0.027601	 ,               -0.030903	
                -0.001207	 ,               -0.011489	
                 0.012887	 ,                0.025770	
                 0.025695	 ,                0.062766	
                 0.053046	 ,                0.038499	
                 0.070534	 ,               -0.001045	
                 0.086262	 ,               -0.048575	
                 0.100316	 ,               -0.067239	
                 0.118432	 ,               -0.049385	
                 0.119750	 ,               -0.022672	
                 0.129771	 ,               -0.008254	
                 0.114552	 ,               -0.012571	
                 0.085923	 ,               -0.000680	
                 0.025662	 ,                0.024584	
                -0.034624	 ,                0.034223	
                -0.104609	 ,                0.031219	
                -0.151079	 ,                0.012118	
                -0.073011	 ,                0.004947	
                -0.020808	 ,                0.007298	
                -0.030163	 ,                0.017569	
                -0.004357	 ,                0.026875	
                -0.027603	 ,                0.021777	
                -0.062816	 ,                0.035554	
                -0.094623	 ,                0.048410	
                -0.076757	 ,                0.036464	
                -0.071115	 ,                0.025744	
                -0.075444	 ,                0.021657	
                -0.044429	 ,                0.025323	
                -0.024372	 ,                0.010437	
                 0.008399	 ,               -0.015981	
                 0.056552	 ,               -0.026641	
                 0.114170	 ,               -0.029717	
                 0.136650	 ,               -0.044420	
                 0.142906	 ,               -0.019698	
                 0.135829	 ,               -0.003330	
                 0.117998	 ,               -0.000501	
                 0.091280	 ,                0.002115	
                 0.018811	 ,               -0.005225	
                -0.074260	 ,               -0.016406	
                -0.111003	 ,               -0.014418	
                -0.167347	 ,               -0.027414	
                -0.176523	 ,               -0.025670	
                -0.147251	 ,               -0.036195	
                -0.137873	 ,               -0.054095	
                -0.098241	 ,               -0.041691	
                -0.076485	 ,               -0.030532	
                -0.005204	 ,               -0.020397	
                 0.041983	 ,               -0.018474	
                 0.067548	 ,                0.000134	
                 0.059538	 ,                0.012437	
                 0.076898	 ,                0.016971	
                 0.083765	 ,                0.028046	
                 0.077120	 ,                0.029983	
                 0.036104	 ,                0.002149	
                 0.020156	 ,               -0.001644	
                 0.063531	 ,                0.001983	
                 0.092362	 ,                0.044822	
                 0.107722	 ,                0.097404	
                 0.111893	 ,                0.090006	
                 0.071754	 ,                0.057581	
                -0.008357	 ,                0.016751	
                -0.088587	 ,                0.011658	
                -0.036373	 ,                0.007094	
                -0.045607	 ,               -0.014605	
                -0.071201	 ,               -0.034164	
                -0.047734	 ,               -0.059043	
                -0.026365	 ,               -0.088222	
                 0.005781	 ,               -0.091541	
                 0.034798	 ,               -0.036642	
                 0.008161	 ,                0.002483	
                 0.003379	 ,               -0.004552	
                 0.007731	 ,                0.001926	
                -0.012214	 ,               -0.003782	
                 0.005810	 ,                0.001502	
                 0.028623	 ,               -0.003166	
                 0.025625	 ,                0.001293	
                -0.015367	 ,                0.013132	
                -0.055997	 ,                0.016665	
                -0.007839	 ,                0.032999	
                -0.001355	 ,                0.053611	
                -0.018685	 ,                0.061465	
                -0.045052	 ,                0.058884	
                -0.107703	 ,                0.029552	
                -0.150301	 ,                0.017674	
                -0.157605	 ,                0.035662	
                -0.121831	 ,                0.038723	
                -0.089473	 ,                0.011602	
                -0.036766	 ,               -0.006486	
                 0.026783	 ,               -0.029402	
                 0.052014	 ,               -0.050058	
                 0.074693	 ,               -0.047228	
                 0.081074	 ,               -0.010056	
                 0.086872	 ,                0.048385	
                 0.080578	 ,                0.055917	
                 0.064125	 ,                0.034429	
                 0.049328	 ,               -0.010690	
                 0.044548	 ,               -0.016356	
                 0.016409	 ,               -0.032139	
                -0.009100	 ,               -0.056394	
                -0.005996	 ,               -0.052077	
                 0.014627	 ,               -0.032207	
                 0.050144	 ,               -0.028747	
                 0.064465	 ,               -0.012441	
                 0.060082	 ,               -0.027468	
                 0.056173	 ,               -0.046763	
                 0.052637	 ,               -0.064200	
                 0.029668	 ,               -0.070956	
                 0.014939	 ,               -0.048522	
                 0.039850	 ,               -0.033637	
                 0.003586	 ,               -0.025509	
                -0.069128	 ,               -0.018244	
                -0.142147	 ,               -0.016062	
                -0.113864	 ,               -0.009972	
                -0.087908	 ,                0.006773	
                -0.111046	 ,                0.022296	
                -0.046658	 ,                0.028323	
                -0.003188	 ,                0.056136	
                 0.004946	 ,                0.067875	
                -0.001746	 ,                0.064211	
