subject_number,condition,group,time_f1,time_f2,time_f3,time_f4,time_f5,time_f6,time_f7,time_f8,time_f9,time_f10,time_f11,time_f12,time_f13,time_f14,time_f15,time_f16,time_f17,time_f18,time_f19,time_f20,time_f21,time_f22,time_f23,time_f24,time_f25,time_f26,time_f27,time_f28,time_f29,time_f30,time_f31,time_f32,time_f33,time_f34,time_f35,time_f36,time_f37,time_f38,time_f39,time_f40,time_f41,time_f42,time_f43,time_f44,time_f45,time_f46,time_f47,time_f48,time_f49,time_f50,time_f51,time_f52,time_f53,time_f54,time_f55,time_f56,freq_f1,freq_f2,freq_f3,freq_f4,freq_f5,freq_f6,freq_f7,freq_f8,freq_f9,freq_f10,freq_f11,freq_f12,freq_f13,freq_f14,freq_f15,freq_f16,freq_f17,freq_f18,freq_f19,freq_f20,freq_f21,freq_f22,freq_f23,freq_f24,freq_f25,freq_f26,freq_f27,freq_f28,freq_f29,freq_f30,freq_f31,freq_f32,freq_f33,freq_f34,freq_f35,freq_f36,freq_f37,freq_f38,freq_f39,freq_f40,freq_f41,freq_f42,freq_f43,freq_f44,freq_f45,freq_f46,freq_f47,freq_f48,msc_f1,msc_f2,msc_f3,msc_f4,msc_f5,msc_f6,msc_f7,msc_f8,msc_f9,msc_f10,msc_f11,msc_f12,msc_f13,msc_f14,msc_f15,msc_f16,msc_f17,msc_f18,msc_f19,msc_f20,msc_f21,msc_f22,msc_f23,msc_f24,msc_f25,msc_f26,msc_f27,msc_f28
1,Curv_CCW,1,0.00857,0.01077,0.00012,0.11595,0.508,0.677,12.22229,0.00892,0.01114,0.00012,0.1242,0.481,0.634,12.02409,0.00858,0.01081,0.00012,0.11682,0.496,0.673,12.32272,0.00889,0.01105,0.00012,0.12204,0.503,0.679,12.3516,0.00869,0.01096,0.00012,0.12009,0.491,0.65,11.9868,0.00862,0.01083,0.00012,0.11733,0.487,0.642,12.18189,0.00876,0.01104,0.00012,0.12198,0.486,0.643,12.13099,0.00861,0.01076,0.00012,0.11585,0.476,0.653,11.93805,256.46216,261.71875,382.8125,0.0,3e-05,0.07306,229.57258,218.75,132.8125,0.0,3e-05,0.08127,261.87568,261.71875,339.84375,0.0,3e-05,0.06712,245.42816,250.0,11.71875,0.0,3e-05,0.09901,245.29275,242.1875,82.03125,0.0,3e-05,0.05348,244.59173,246.09375,210.9375,0.0,3e-05,0.07092,245.1529,246.09375,324.21875,0.0,3e-05,0.06342,243.93599,250.0,476.5625,0.0,3e-05,0.08467,0.35625,0.34016,0.36679,0.34701,0.35851,0.33042,0.3491,0.32697,0.36262,0.34005,0.32636,0.31826,0.36155,0.34271,0.33736,0.34894,0.31671,0.35238,0.35149,0.35899,0.34979,0.3791,0.32407,0.34094,0.32709,0.34284,0.32483,0.35469
1,Curv_CCW,1,0.00874,0.01096,0.00012,0.12015,0.508,0.677,12.31783,0.00879,0.01101,0.00012,0.12118,0.484,0.653,12.11675,0.00872,0.01082,0.00012,0.11698,0.516,0.676,12.41596,0.00881,0.01084,0.00012,0.11755,0.479,0.662,11.97225,0.0088,0.011,0.00012,0.12109,0.471,0.655,11.91327,0.00859,0.01081,0.00012,0.11695,0.459,0.647,11.89073,0.00869,0.01102,0.00012,0.12137,0.482,0.658,12.06561,0.00879,0.01087,0.00012,0.11823,0.504,0.654,12.29492,252.55912,253.90625,308.59375,0.0,3e-05,0.08615,246.39245,238.28125,136.71875,0.0,3e-05,0.06582,263.14487,269.53125,347.65625,0.0,3e-05,0.05399,239.51946,230.46875,7.8125,0.0,3e-05,0.09127,239.24982,230.46875,82.03125,0.0,3e-05,0.08947,239.55621,230.46875,144.53125,0.0,3e-05,0.07556,239.96219,230.46875,109.375,0.0,3e-05,0.07157,242.80238,253.90625,31.25,0.0,3e-05,0.1062,0.33563,0.33758,0.37783,0.37276,0.36338,0.31735,0.31775,0.3285,0.35787,0.37675,0.36123,0.32482,0.33609,0.33531,0.32903,0.3114,0.33753,0.3251,0.33968,0.36966,0.32899,0.32524,0.35499,0.31243,0.34816,0.33771,0.35407,0.36239
1,Curv_CCW,1,0.00871,0.01099,0.00012,0.12087,0.501,0.66,12.38669,0.00869,0.0108,0.00012,0.11663,0.456,0.635,11.73993,0.00906,0.01122,0.00013,0.12586,0.524,0.679,12.87304,0.00887,0.01102,0.00012,0.12138,0.482,0.675,12.54061,0.00908,0.01124,0.00013,0.12641,0.475,0.658,12.3155,0.00887,0.01107,0.00012,0.12244,0.484,0.663,12.19054,0.00857,0.01087,0.00012,0.11813,0.483,0.658,11.94906,0.00909,0.01118,0.00012,0.12489,0.498,0.657,12.46964,248.47903,253.90625,97.65625,0.0,3e-05,0.08177,243.68769,230.46875,246.09375,0.0,3e-05,0.06779,250.28482,246.09375,406.25,0.0,3e-05,0.09846,247.32887,253.90625,7.8125,0.0,3e-05,0.08413,242.52708,238.28125,296.875,0.0,3e-05,0.09217,237.27976,222.65625,54.6875,0.0,3e-05,0.08429,237.52838,234.375,113.28125,0.0,3e-05,0.10995,245.23842,238.28125,210.9375,0.0,3e-05,0.08167,0.33685,0.33556,0.33203,0.34567,0.33771,0.34615,0.31772,0.31684,0.3214,0.343,0.34707,0.34808,0.36316,0.32305,0.31776,0.31507,0.36569,0.33099,0.31981,0.33646,0.33955,0.33931,0.31791,0.3455,0.34043,0.33612,0.34544,0.32948
1,Curv_CCW,1,0.0085,0.01068,0.00011,0.11414,0.5,0.662,12.17701,0.00872,0.01078,0.00012,0.11626,0.472,0.648,12.12807,0.00907,0.01135,0.00013,0.12893,0.524,0.67,13.07298,0.00905,0.01126,0.00013,0.12687,0.5,0.684,13.13043,0.00905,0.01122,0.00013,0.1258,0.492,0.665,12.80377,0.00879,0.01109,0.00012,0.12303,0.515,0.68,12.32399,0.0085,0.01083,0.00012,0.11731,0.481,0.65,11.99792,0.00892,0.01111,0.00012,0.12339,0.472,0.66,12.26969,253.63989,253.90625,164.0625,0.0,3e-05,0.05984,246.44984,230.46875,492.1875,0.0,3e-05,0.08031,255.69549,253.90625,398.4375,0.0,3e-05,0.08357,262.67408,269.53125,390.625,0.0,3e-05,0.06104,258.99045,269.53125,316.40625,0.0,3e-05,0.0715,241.88348,230.46875,97.65625,0.0,3e-05,0.08033,250.18213,253.90625,42.96875,0.0,3e-05,0.08782,238.79058,234.375,113.28125,0.0,3e-05,0.09545,0.34211,0.33579,0.33191,0.31767,0.33741,0.34838,0.32116,0.34049,0.2897,0.35719,0.31461,0.33606,0.34532,0.3358,0.36519,0.33498,0.34378,0.36086,0.3496,0.34684,0.3116,0.34252,0.34923,0.3367,0.36281,0.35939,0.36452,0.32836
1,Curv_CCW,1,0.00864,0.01081,0.00012,0.11692,0.49,0.681,12.281,0.00891,0.01109,0.00012,0.12306,0.497,0.67,12.86476,0.00902,0.0113,0.00013,0.12777,0.506,0.655,12.60958,0.00898,0.01118,0.00012,0.12492,0.499,0.655,12.4875,0.00853,0.01084,0.00012,0.11752,0.486,0.672,12.18561,0.00879,0.01114,0.00012,0.12412,0.518,0.661,12.61896,0.00865,0.01101,0.00012,0.12111,0.475,0.646,12.12098,0.00846,0.01061,0.00011,0.11253,0.482,0.66,11.85938,253.85906,253.90625,359.375,0.0,3e-05,0.06603,262.6446,273.4375,425.78125,0.0,3e-05,0.06592,245.44084,246.09375,132.8125,0.0,3e-05,0.08706,244.1516,250.0,257.8125,0.0,3e-05,0.08243,257.76379,257.8125,464.84375,0.0,3e-05,0.06763,240.79823,238.28125,261.71875,0.0,3e-05,0.0843,241.41904,246.09375,285.15625,0.0,3e-05,0.10235,244.17621,246.09375,11.71875,0.0,3e-05,0.09252,0.35069,0.32642,0.33766,0.32715,0.36184,0.345,0.31488,0.34306,0.3517,0.3229,0.35023,0.32454,0.36245,0.34009,0.32241,0.37573,0.344,0.328,0.35942,0.35393,0.35768,0.34168,0.31866,0.31718,0.34288,0.36295,0.34634,0.3299
1,Curv_CCW,1,0.00902,0.01124,0.00013,0.12644,0.485,0.667,12.80691,0.00898,0.01119,0.00013,0.12516,0.52,0.669,13.01578,0.009,0.01133,0.00013,0.12842,0.509,0.667,12.76582,0.00886,0.01114,0.00012,0.12407,0.505,0.647,12.42643,0.0088,0.01113,0.00012,0.12379,0.489,0.665,12.40643,0.0089,0.01124,0.00013,0.12638,0.497,0.652,12.80062,0.00847,0.01065,0.00011,0.11351,0.481,0.652,11.70778,0.0086,0.01066,0.00011,0.11374,0.494,0.661,12.0067,258.06953,261.71875,277.34375,0.0,3e-05,0.07745,257.92519,269.53125,335.9375,0.0,3e-05,0.06955,251.1923,253.90625,218.75,0.0,3e-05,0.09561,242.67292,250.0,289.0625,0.0,3e-05,0.0881,237.01225,234.375,113.28125,0.0,3e-05,0.08692,251.7529,253.90625,402.34375,0.0,3e-05,0.06658,238.24706,230.46875,203.125,0.0,3e-05,0.08524,244.29545,250.0,195.3125,0.0,3e-05,0.08343,0.30781,0.3116,0.35167,0.32015,0.34429,0.35606,0.32709,0.3268,0.358,0.35087,0.32836,0.34569,0.32627,0.31741,0.33376,0.34577,0.33352,0.33288,0.32937,0.32083,0.32151,0.33826,0.37601,0.35446,0.36322,0.37109,0.34884,0.32663
1,Curv_CCW,1,0.0091,0.01129,0.00013,0.12757,0.495,0.649,12.95014,0.00856,0.01062,0.00011,0.11273,0.512,0.681,12.16558,0.0088,0.01107,0.00012,0.12259,0.493,0.666,12.45644,0.00881,0.01107,0.00012,0.12261,0.483,0.666,12.23974,0.00897,0.01127,0.00013,0.12712,0.498,0.644,12.73459,0.00884,0.01117,0.00012,0.12473,0.483,0.644,12.52759,0.00839,0.01044,0.00011,0.10901,0.514,0.648,11.75183,0.00883,0.01088,0.00012,0.11827,0.487,0.663,12.17911,258.62076,257.8125,250.0,0.0,3e-05,0.07058,253.62035,246.09375,39.0625,0.0,3e-05,0.09206,251.34256,253.90625,167.96875,0.0,3e-05,0.07611,248.9078,246.09375,187.5,0.0,3e-05,0.07978,249.20923,238.28125,496.09375,0.0,3e-05,0.06993,244.28989,242.1875,343.75,0.0,3e-05,0.08213,254.33235,250.0,175.78125,0.0,3e-05,0.06545,247.81318,242.1875,156.25,0.0,3e-05,0.07421,0.32226,0.37364,0.32129,0.34662,0.30164,0.34763,0.34031,0.32594,0.32221,0.33298,0.32105,0.31099,0.3225,0.30956,0.31937,0.37642,0.3235,0.32592,0.34529,0.35775,0.32953,0.33104,0.31942,0.33547,0.36638,0.32501,0.35104,0.33933
1,Curv_CCW,1,0.00884,0.01106,0.00012,0.12235,0.517,0.665,12.7094,0.00822,0.01023,0.0001,0.10457,0.49,0.669,11.46884,0.00838,0.01055,0.00011,0.11128,0.465,0.653,11.55525,0.00872,0.01097,0.00012,0.12041,0.467,0.673,12.01058,0.00886,0.0113,0.00013,0.12779,0.493,0.668,12.53737,0.00881,0.01092,0.00012,0.11928,0.496,0.633,12.3441,0.0085,0.01067,0.00011,0.11387,0.513,0.641,12.01377,0.00872,0.01076,0.00012,0.11583,0.483,0.665,11.88759,250.63871,246.09375,191.40625,0.0,3e-05,0.08203,253.8376,261.71875,351.5625,0.0,3e-05,0.07633,234.94912,222.65625,42.96875,0.0,3e-05,0.09425,245.18044,230.46875,62.5,0.0,3e-05,0.06572,244.11362,242.1875,27.34375,0.0,3e-05,0.09419,245.28262,246.09375,289.0625,0.0,3e-05,0.07268,249.58641,246.09375,457.03125,0.0,3e-05,0.07769,239.91706,226.5625,226.5625,0.0,3e-05,0.09022,0.34617,0.32078,0.32129,0.38027,0.33915,0.32823,0.35058,0.33471,0.35572,0.34781,0.3501,0.31585,0.33166,0.36922,0.35909,0.32576,0.34533,0.36421,0.30124,0.33266,0.33817,0.29833,0.33064,0.35012,0.34377,0.36359,0.34779,0.30898
1,Curv_CCW,1,0.00868,0.01092,0.00012,0.11934,0.528,0.683,12.53886,0.00827,0.01042,0.00011,0.10852,0.491,0.66,11.63951,0.00807,0.01019,0.0001,0.10375,0.487,0.661,11.65734,0.0088,0.011,0.00012,0.12102,0.481,0.671,12.30808,0.00896,0.01136,0.00013,0.12913,0.505,0.69,12.95372,0.00879,0.01081,0.00012,0.11688,0.509,0.662,12.27881,0.00878,0.01101,0.00012,0.1213,0.514,0.665,12.64443,0.00885,0.0109,0.00012,0.11876,0.491,0.659,12.06433,261.09832,265.625,453.125,0.0,3e-05,0.0723,247.45802,238.28125,113.28125,0.0,3e-05,0.07802,255.3927,269.53125,378.90625,0.0,3e-05,0.06413,257.58111,265.625,371.09375,0.0,3e-05,0.06018,247.16523,250.0,449.21875,0.0,3e-05,0.097,248.84782,250.0,54.6875,0.0,3e-05,0.05743,250.75279,261.71875,277.34375,0.0,3e-05,0.08219,236.04034,222.65625,148.4375,0.0,3e-05,0.09583,0.30944,0.35121,0.35186,0.3406,0.33724,0.31951,0.31813,0.34986,0.33881,0.32647,0.33855,0.36513,0.36328,0.3691,0.34223,0.33224,0.34504,0.36058,0.36109,0.33903,0.35312,0.3533,0.36784,0.33854,0.3521,0.36995,0.36782,0.33499
1,Curv_CCW,1,0.00851,0.01078,0.00012,0.11627,0.495,0.655,12.22935,0.00823,0.01041,0.00011,0.10833,0.511,0.671,11.77737,0.00835,0.01052,0.00011,0.11073,0.518,0.667,12.25905,0.00882,0.01097,0.00012,0.12031,0.52,0.687,12.57328,0.00878,0.01103,0.00012,0.12173,0.526,0.665,12.87169,0.00852,0.01063,0.00011,0.11306,0.506,0.673,11.81257,0.00875,0.01085,0.00012,0.11769,0.513,0.674,12.48976,0.00903,0.01113,0.00012,0.12384,0.514,0.665,12.5375,254.81187,253.90625,453.125,0.0,3e-05,0.06728,248.72329,257.8125,19.53125,0.0,3e-05,0.08881,254.93436,250.0,250.0,0.0,3e-05,0.0636,251.87983,250.0,359.375,0.0,3e-05,0.06936,260.90142,269.53125,378.90625,0.0,3e-05,0.06794,238.71984,226.5625,359.375,0.0,3e-05,0.07931,245.72923,242.1875,324.21875,0.0,3e-05,0.10881,240.43857,246.09375,132.8125,0.0,3e-05,0.10172,0.33959,0.34263,0.34353,0.315,0.346,0.34896,0.3135,0.34571,0.3459,0.3691,0.32405,0.35294,0.34433,0.34091,0.3448,0.32914,0.34757,0.30449,0.35513,0.33989,0.32366,0.36252,0.30313,0.33392,0.32781,0.33857,0.33567,0.33258
