Experiment,Classifier,Accuracy_Mean,Accuracy_Std,Sensitivity_Mean,Sensitivity_Std,Specificity_Mean,Specificity_Std,AUC_Mean,AUC_Std
Curvilinear_CNN_64,SVM (RBF),0.91104,0.01905,0.91223,0.02848,0.90975,0.02467,0.96558,0.01489
Curvilinear_CNN_64,KNN (k=5),0.89896,0.01798,0.89899,0.0258,0.89892,0.02053,0.96784,0.00782
Curvilinear_CNN_64,LDA,0.62172,0.02785,0.6324,0.05963,0.61012,0.04893,0.66961,0.03288
Curvilinear_CNN_70,SVM (RBF),0.91104,0.01905,0.91223,0.02848,0.90975,0.02467,0.96558,0.01489
Curvilinear_CNN_70,KNN (k=5),0.89896,0.01798,0.89899,0.0258,0.89892,0.02053,0.96784,0.00782
Curvilinear_CNN_70,LDA,0.62172,0.02785,0.6324,0.05963,0.61012,0.04893,0.66961,0.03288
Rectilinear_CNN_64,SVM (RBF),0.83003,0.01697,0.83749,0.05336,0.82248,0.05423,0.89539,0.02497
Rectilinear_CNN_64,KNN (k=5),0.79293,0.0344,0.80242,0.04215,0.78344,0.05586,0.89847,0.03688
Rectilinear_CNN_64,LDA,0.64252,0.06368,0.60937,0.08728,0.6753,0.06708,0.7093,0.0522
Rectilinear_CNN_70,SVM (RBF),0.83003,0.01697,0.83749,0.05336,0.82248,0.05423,0.89539,0.02497
Rectilinear_CNN_70,KNN (k=5),0.79293,0.0344,0.80242,0.04215,0.78344,0.05586,0.89847,0.03688
Rectilinear_CNN_70,LDA,0.64252,0.06368,0.60937,0.08728,0.6753,0.06708,0.7093,0.0522
Combined_CNN_64,SVM (RBF),0.89363,0.02621,0.90264,0.02058,0.88408,0.03442,0.95495,0.01793
Combined_CNN_64,KNN (k=5),0.87073,0.03367,0.87257,0.01745,0.86879,0.05206,0.96278,0.0058
Combined_CNN_64,LDA,0.63886,0.02445,0.6575,0.03416,0.61911,0.02717,0.68381,0.03553
Combined_CNN_70,SVM (RBF),0.89363,0.02621,0.90264,0.02058,0.88408,0.03442,0.95495,0.01793
Combined_CNN_70,KNN (k=5),0.87073,0.03367,0.87257,0.01745,0.86879,0.05206,0.96278,0.0058
Combined_CNN_70,LDA,0.63886,0.02445,0.6575,0.03416,0.61911,0.02717,0.68381,0.03553
