fold,classifier,feature_extraction,split_strategy,accuracy,sensitivity,specificity,auc,train_fraction
1,SVM (RBF),cnn,64-16-20,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9598298676748582,0.64
1,KNN (k=5),cnn,64-16-20,0.8695652173913043,0.9347826086956522,0.8043478260869565,0.9454158790170132,0.64
1,LDA,cnn,64-16-20,0.6630434782608695,0.5869565217391305,0.7391304347826086,0.7145557655954631,0.64
2,SVM (RBF),cnn,64-16-20,0.8369565217391305,0.8695652173913043,0.8043478260869565,0.9026465028355387,0.64
2,KNN (k=5),cnn,64-16-20,0.8478260869565217,0.8695652173913043,0.8260869565217391,0.9120982986767485,0.64
2,LDA,cnn,64-16-20,0.6739130434782609,0.6739130434782609,0.6739130434782609,0.7778827977315691,0.64
3,SVM (RBF),cnn,64-16-20,0.8369565217391305,0.782608695652174,0.8913043478260869,0.9078449905482041,0.64
3,KNN (k=5),cnn,64-16-20,0.8804347826086957,0.8913043478260869,0.8695652173913043,0.970226843100189,0.64
3,LDA,cnn,64-16-20,0.6086956521739131,0.5434782608695652,0.6739130434782609,0.693289224952741,0.64
4,SVM (RBF),cnn,64-16-20,0.8695652173913043,0.8,0.9361702127659575,0.9200945626477542,0.64
4,KNN (k=5),cnn,64-16-20,0.8586956521739131,0.8444444444444444,0.8723404255319149,0.939952718676123,0.64
4,LDA,cnn,64-16-20,0.6739130434782609,0.6888888888888889,0.6595744680851063,0.6912529550827423,0.64
5,SVM (RBF),cnn,64-16-20,0.8571428571428571,0.9333333333333333,0.782608695652174,0.91256038647343,0.64
5,KNN (k=5),cnn,64-16-20,0.8791208791208791,0.8444444444444444,0.9130434782608695,0.9164251207729468,0.64
5,LDA,cnn,64-16-20,0.5494505494505495,0.5111111111111111,0.5869565217391305,0.6227053140096618,0.64
