fold,classifier,feature_extraction,split_strategy,accuracy,sensitivity,specificity,auc,train_fraction
1,SVM (RBF),cnn,64-16-20,0.9137931034482759,0.9173553719008265,0.9099099099099099,0.9609857791675973,0.64
1,KNN (k=5),cnn,64-16-20,0.9267241379310345,0.9338842975206612,0.918918918918919,0.9778497505770234,0.64
1,LDA,cnn,64-16-20,0.6422413793103449,0.6528925619834711,0.6306306306306306,0.7005435187253369,0.64
2,SVM (RBF),cnn,64-16-20,0.9137931034482759,0.9173553719008265,0.9099099099099099,0.9653041471223289,0.64
2,KNN (k=5),cnn,64-16-20,0.9137931034482759,0.9008264462809917,0.9279279279279279,0.9690641054277418,0.64
2,LDA,cnn,64-16-20,0.6120689655172413,0.6859504132231405,0.5315315315315315,0.6673367582458491,0.64
3,SVM (RBF),cnn,64-16-20,0.9396551724137931,0.9173553719008265,0.963963963963964,0.9854813491177128,0.64
3,KNN (k=5),cnn,64-16-20,0.9612068965517241,0.9421487603305785,0.9819819819819819,0.9918472191199464,0.64
3,LDA,cnn,64-16-20,0.6077586206896551,0.5867768595041323,0.6306306306306306,0.6553495644404735,0.64
4,SVM (RBF),cnn,64-16-20,0.9393939393939394,0.9504132231404959,0.9272727272727272,0.9697220135236665,0.64
4,KNN (k=5),cnn,64-16-20,0.9264069264069265,0.9338842975206612,0.9181818181818182,0.9675056348610067,0.64
4,LDA,cnn,64-16-20,0.6277056277056277,0.6528925619834711,0.6,0.6688204357625845,0.64
5,SVM (RBF),cnn,64-16-20,0.9177489177489178,0.9666666666666667,0.8648648648648649,0.957057057057057,0.64
5,KNN (k=5),cnn,64-16-20,0.9307359307359307,0.9416666666666667,0.918918918918919,0.9690315315315315,0.64
5,LDA,cnn,64-16-20,0.6190476190476191,0.65,0.5855855855855856,0.7078828828828828,0.64
