Model,Condition,Fold,Accuracy,Sensitivity,Specificity,AUC
CNN+GRU,Curvilinear,1,0.47844827586206895,0.5454545454545454,0.40540540540540543,0.4610230064775519
CNN+GRU,Curvilinear,2,0.4956896551724138,0.48760330578512395,0.5045045045045045,0.4989948626312263
CNN+GRU,Curvilinear,3,0.5560344827586207,0.6363636363636364,0.46846846846846846,0.5243094334003425
CNN+GRU,Curvilinear,4,0.5887445887445888,0.5785123966942148,0.6,0.5543200601051842
CNN+GRU,Curvilinear,5,0.4675324675324675,0.5,0.43243243243243246,0.48205705705705704
CNN+GRU,Rectilinear,1,0.5869565217391305,0.5869565217391305,0.5869565217391305,0.665406427221172
CNN+GRU,Rectilinear,2,0.5217391304347826,0.3695652173913043,0.6739130434782609,0.5751417769376181
CNN+GRU,Rectilinear,3,0.5760869565217391,0.5434782608695652,0.6086956521739131,0.5675803402646502
CNN+GRU,Rectilinear,4,0.6086956521739131,0.5111111111111111,0.7021276595744681,0.6444444444444444
CNN+GRU,Rectilinear,5,0.5164835164835165,0.4222222222222222,0.6086956521739131,0.5579710144927537
CNN+GRU,Combine,1,0.5308641975308642,0.5329341317365269,0.5286624203821656,0.5584881193027957
CNN+GRU,Combine,2,0.5246913580246914,0.5149700598802395,0.535031847133758,0.5358327930127007
CNN+GRU,Combine,3,0.5386996904024768,0.5421686746987951,0.535031847133758,0.5037218939452075
CNN+GRU,Combine,4,0.5789473684210527,0.6325301204819277,0.5222929936305732,0.5776225922799478
CNN+GRU,Combine,5,0.5139318885448917,0.5602409638554217,0.46496815286624205,0.5395211418924104
