Model,Condition,Fold,Accuracy,Sensitivity,Specificity,AUC
CNN+LSTM,Curvilinear,1,0.47413793103448276,0.5454545454545454,0.3963963963963964,0.46102300647755196
CNN+LSTM,Curvilinear,2,0.5,0.5041322314049587,0.4954954954954955,0.4978780433325888
CNN+LSTM,Curvilinear,3,0.5603448275862069,0.6363636363636364,0.4774774774774775,0.5274365274365274
CNN+LSTM,Curvilinear,4,0.5844155844155844,0.5537190082644629,0.6181818181818182,0.5510142749812172
CNN+LSTM,Curvilinear,5,0.47619047619047616,0.5083333333333333,0.44144144144144143,0.4795045045045046
CNN+LSTM,Rectilinear,1,0.5978260869565217,0.5869565217391305,0.6086956521739131,0.6706049149338374
CNN+LSTM,Rectilinear,2,0.5217391304347826,0.3695652173913043,0.6739130434782609,0.5751417769376183
CNN+LSTM,Rectilinear,3,0.5652173913043478,0.5217391304347826,0.6086956521739131,0.5652173913043479
CNN+LSTM,Rectilinear,4,0.6086956521739131,0.5111111111111111,0.7021276595744681,0.6444444444444445
CNN+LSTM,Rectilinear,5,0.5164835164835165,0.4222222222222222,0.6086956521739131,0.5541062801932366
CNN+LSTM,Combine,1,0.5246913580246914,0.5209580838323353,0.5286624203821656,0.5573057706243564
CNN+LSTM,Combine,2,0.5216049382716049,0.5089820359281437,0.535031847133758,0.5359090735726
CNN+LSTM,Combine,3,0.5356037151702786,0.5421686746987951,0.5286624203821656,0.5047962550840304
CNN+LSTM,Combine,4,0.5634674922600619,0.6265060240963856,0.4968152866242038,0.5771237817512087
CNN+LSTM,Combine,5,0.5170278637770898,0.5481927710843374,0.4840764331210191,0.5423988949428287
