Experiment,Condition,Split,Classifier,Data_Percentage,Estimated_Accuracy,Is_Best
Curvilinear_CNN_64,Curvilinear,64-16-20,SVM (RBF),40.0,0.7861453201970444,False
Curvilinear_CNN_64,Curvilinear,64-16-20,SVM (RBF),60.0,0.8323891625615766,False
Curvilinear_CNN_64,Curvilinear,64-16-20,SVM (RBF),80.0,0.8786330049261085,False
Curvilinear_CNN_64,Curvilinear,64-16-20,SVM (RBF),100.0,0.9248768472906406,False
Curvilinear_CNN_64,Curvilinear,64-16-20,KNN (k=5),40.0,0.7920073891625615,False
Curvilinear_CNN_64,Curvilinear,64-16-20,KNN (k=5),60.0,0.8385960591133005,False
Curvilinear_CNN_64,Curvilinear,64-16-20,KNN (k=5),80.0,0.8851847290640393,False
Curvilinear_CNN_64,Curvilinear,64-16-20,KNN (k=5),100.0,0.9317733990147783,False
Curvilinear_CNN_64,Curvilinear,64-16-20,LDA,40.0,0.6,False
Curvilinear_CNN_64,Curvilinear,64-16-20,LDA,60.0,0.65,False
Curvilinear_CNN_64,Curvilinear,64-16-20,LDA,80.0,0.7,True
Curvilinear_CNN_64,Curvilinear,64-16-20,LDA,100.0,0.6217644424540977,False
Curvilinear_CNN_70,Curvilinear,70-20-10,SVM (RBF),40.0,0.7861453201970444,False
Curvilinear_CNN_70,Curvilinear,70-20-10,SVM (RBF),60.0,0.8323891625615766,False
Curvilinear_CNN_70,Curvilinear,70-20-10,SVM (RBF),80.0,0.8786330049261085,False
Curvilinear_CNN_70,Curvilinear,70-20-10,SVM (RBF),100.0,0.9248768472906406,False
Curvilinear_CNN_70,Curvilinear,70-20-10,KNN (k=5),40.0,0.7920073891625615,False
Curvilinear_CNN_70,Curvilinear,70-20-10,KNN (k=5),60.0,0.8385960591133005,False
Curvilinear_CNN_70,Curvilinear,70-20-10,KNN (k=5),80.0,0.8851847290640393,False
Curvilinear_CNN_70,Curvilinear,70-20-10,KNN (k=5),100.0,0.9317733990147783,False
Curvilinear_CNN_70,Curvilinear,70-20-10,LDA,40.0,0.6,False
Curvilinear_CNN_70,Curvilinear,70-20-10,LDA,60.0,0.65,False
Curvilinear_CNN_70,Curvilinear,70-20-10,LDA,80.0,0.7,True
Curvilinear_CNN_70,Curvilinear,70-20-10,LDA,100.0,0.6217644424540977,False
Rectilinear_CNN_64,Rectilinear,64-16-20,SVM (RBF),40.0,0.7333229813664595,False
Rectilinear_CNN_64,Rectilinear,64-16-20,SVM (RBF),60.0,0.7764596273291924,False
Rectilinear_CNN_64,Rectilinear,64-16-20,SVM (RBF),80.0,0.8195962732919253,False
Rectilinear_CNN_64,Rectilinear,64-16-20,SVM (RBF),100.0,0.8627329192546582,False
Rectilinear_CNN_64,Rectilinear,64-16-20,KNN (k=5),40.0,0.7370592451027234,False
Rectilinear_CNN_64,Rectilinear,64-16-20,KNN (k=5),60.0,0.7804156712852366,False
