fold,classifier,feature_extraction,split_strategy,accuracy,sensitivity,specificity,auc
1,SVM (RBF),cnn,64-16-20,0.8950617283950617,0.9041916167664671,0.8853503184713376,0.9625843853693886
1,KNN (k=5),cnn,64-16-20,0.9197530864197531,0.9281437125748503,0.910828025477707,0.9692970746405281
1,LDA,cnn,64-16-20,0.5833333333333334,0.5748502994011976,0.5923566878980892,0.6303444067279454
2,SVM (RBF),cnn,64-16-20,0.8827160493827161,0.9101796407185628,0.8535031847133758,0.9504557763453984
2,KNN (k=5),cnn,64-16-20,0.9135802469135802,0.8982035928143712,0.9299363057324841,0.9623936839696405
2,LDA,cnn,64-16-20,0.6049382716049383,0.6227544910179641,0.5859872611464968,0.6663869712803692
3,SVM (RBF),cnn,64-16-20,0.934984520123839,0.9397590361445783,0.9299363057324841,0.9809684598265674
3,KNN (k=5),cnn,64-16-20,0.9164086687306502,0.9156626506024096,0.9171974522292994,0.9717788350855652
3,LDA,cnn,64-16-20,0.628482972136223,0.608433734939759,0.6496815286624203,0.6798403806308035
4,SVM (RBF),cnn,64-16-20,0.8792569659442725,0.891566265060241,0.8662420382165605,0.9518072289156627
4,KNN (k=5),cnn,64-16-20,0.9071207430340558,0.9397590361445783,0.8726114649681529,0.970973064231448
4,LDA,cnn,64-16-20,0.6439628482972136,0.6385542168674698,0.6496815286624203,0.7014043434886041
5,SVM (RBF),cnn,64-16-20,0.9102167182662538,0.927710843373494,0.89171974522293,0.9672319852659044
5,KNN (k=5),cnn,64-16-20,0.8978328173374613,0.9036144578313253,0.89171974522293,0.9640472718901083
5,LDA,cnn,64-16-20,0.6377708978328174,0.6867469879518072,0.5859872611464968,0.7159849589440566
