Experiment,Classifier,Accuracy_Mean,Accuracy_Std,Sensitivity_Mean,Sensitivity_Std,Specificity_Mean,Specificity_Std,AUC_Mean,AUC_Std
Curvilinear_CNN_64,SVM (RBF),0.92488,0.01347,0.93383,0.02328,0.91518,0.03575,0.96771,0.011
Curvilinear_CNN_64,KNN (k=5),0.93177,0.01764,0.93048,0.01706,0.93319,0.02757,0.97506,0.01023
Curvilinear_CNN_64,LDA,0.62176,0.01371,0.6457,0.0361,0.59568,0.04086,0.67999,0.02287
Curvilinear_CNN_70,SVM (RBF),0.92488,0.01347,0.93383,0.02328,0.91518,0.03575,0.96771,0.011
Curvilinear_CNN_70,KNN (k=5),0.93177,0.01764,0.93048,0.01706,0.93319,0.02757,0.97506,0.01023
Curvilinear_CNN_70,LDA,0.62176,0.01371,0.6457,0.0361,0.59568,0.04086,0.67999,0.02287
Rectilinear_CNN_64,SVM (RBF),0.86273,0.03138,0.85971,0.06684,0.86549,0.06806,0.9206,0.02285
Rectilinear_CNN_64,KNN (k=5),0.86713,0.01388,0.87691,0.03781,0.85708,0.04261,0.93682,0.02359
Rectilinear_CNN_64,LDA,0.6338,0.05436,0.60087,0.07846,0.6667,0.05422,0.69994,0.05562
Rectilinear_CNN_70,SVM (RBF),0.86273,0.03138,0.85971,0.06684,0.86549,0.06806,0.9206,0.02285
Rectilinear_CNN_70,KNN (k=5),0.86713,0.01388,0.87691,0.03781,0.85708,0.04261,0.93682,0.02359
Rectilinear_CNN_70,LDA,0.6338,0.05436,0.60087,0.07846,0.6667,0.05422,0.69994,0.05562
Combined_CNN_64,SVM (RBF),0.90045,0.02281,0.91468,0.01913,0.88535,0.02919,0.96261,0.01248
Combined_CNN_64,KNN (k=5),0.91094,0.00867,0.91708,0.01715,0.90446,0.02252,0.9677,0.00422
Combined_CNN_64,LDA,0.6197,0.02516,0.62627,0.04118,0.61274,0.03382,0.67879,0.03315
Combined_CNN_70,SVM (RBF),0.90045,0.02281,0.91468,0.01913,0.88535,0.02919,0.96261,0.01248
Combined_CNN_70,KNN (k=5),0.91094,0.00867,0.91708,0.01715,0.90446,0.02252,0.9677,0.00422
Combined_CNN_70,LDA,0.6197,0.02516,0.62627,0.04118,0.61274,0.03382,0.67879,0.03315
