Model,Condition,Fold,Accuracy,Sensitivity,Specificity,AUC
CNN+LSTM,Curvilinear,1,0.47414,0.54545,0.3964,0.46065
CNN+LSTM,Curvilinear,2,0.5,0.50413,0.4955,0.49788
CNN+LSTM,Curvilinear,3,0.56034,0.63636,0.47748,0.52744
CNN+LSTM,Curvilinear,4,0.58442,0.55372,0.61818,0.55101
CNN+LSTM,Curvilinear,5,0.47619,0.50833,0.44144,0.4795
CNN+LSTM,Rectilinear,1,0.59783,0.58696,0.6087,0.6706
CNN+LSTM,Rectilinear,2,0.52174,0.36957,0.67391,0.57514
CNN+LSTM,Rectilinear,3,0.56522,0.52174,0.6087,0.56522
CNN+LSTM,Rectilinear,4,0.6087,0.51111,0.70213,0.64444
CNN+LSTM,Rectilinear,5,0.51648,0.42222,0.6087,0.55411
CNN+LSTM,Combine,1,0.52469,0.52096,0.52866,0.55731
CNN+LSTM,Combine,2,0.5216,0.50898,0.53503,0.53591
CNN+LSTM,Combine,3,0.5356,0.54217,0.52866,0.5048
CNN+LSTM,Combine,4,0.56347,0.62651,0.49682,0.57712
CNN+LSTM,Combine,5,0.51703,0.54819,0.48408,0.5424
