Model,Condition,Fold,Accuracy,Sensitivity,Specificity,AUC
CNN+LSTM,Curvilinear_70,1,0.47414,0.54545,0.3964,0.46102
CNN+LSTM,Curvilinear_70,2,0.5,0.50413,0.4955,0.49788
CNN+LSTM,Curvilinear_70,3,0.56034,0.63636,0.47748,0.52744
CNN+LSTM,Curvilinear_70,4,0.58442,0.55372,0.61818,0.55101
CNN+LSTM,Curvilinear_70,5,0.47619,0.50833,0.44144,0.4795
CNN+LSTM,Rectilinear_70,1,0.6087,0.58696,0.63043,0.66871
CNN+LSTM,Rectilinear_70,2,0.52174,0.36957,0.67391,0.57514
CNN+LSTM,Rectilinear_70,3,0.56522,0.52174,0.6087,0.56522
CNN+LSTM,Rectilinear_70,4,0.6087,0.51111,0.70213,0.64444
CNN+LSTM,Rectilinear_70,5,0.51648,0.42222,0.6087,0.55411
CNN+LSTM,Combine_70,1,0.52778,0.52695,0.52866,0.55727
CNN+LSTM,Combine_70,2,0.5216,0.50898,0.53503,0.53591
CNN+LSTM,Combine_70,3,0.5356,0.54217,0.52866,0.5048
CNN+LSTM,Combine_70,4,0.56347,0.62651,0.49682,0.57712
CNN+LSTM,Combine_70,5,0.51703,0.54819,0.48408,0.5424
