Model,Condition,Fold,Accuracy,Sensitivity,Specificity,AUC
CNN+KNN,Curvilinear,1,0.92672,0.93388,0.91892,0.97785
CNN+KNN,Curvilinear,2,0.91379,0.90083,0.92793,0.96906
CNN+KNN,Curvilinear,3,0.96121,0.94215,0.98198,0.99185
CNN+KNN,Curvilinear,4,0.92641,0.93388,0.91818,0.96751
CNN+KNN,Curvilinear,5,0.93074,0.94167,0.91892,0.96903
CNN+KNN,Rectilinear,1,0.86957,0.93478,0.80435,0.94542
CNN+KNN,Rectilinear,2,0.84783,0.86957,0.82609,0.9121
CNN+KNN,Rectilinear,3,0.88043,0.8913,0.86957,0.97023
CNN+KNN,Rectilinear,4,0.8587,0.84444,0.87234,0.93995
CNN+KNN,Rectilinear,5,0.87912,0.84444,0.91304,0.91643
CNN+KNN,Combine,1,0.91975,0.92814,0.91083,0.9693
CNN+KNN,Combine,2,0.91358,0.8982,0.92994,0.96239
CNN+KNN,Combine,3,0.91641,0.91566,0.9172,0.97178
CNN+KNN,Combine,4,0.90712,0.93976,0.87261,0.97097
CNN+KNN,Combine,5,0.89783,0.90361,0.89172,0.96405
