Model,Condition,Fold,Accuracy,Sensitivity,Specificity,AUC
CNN+LDA,Curvilinear,1,0.64224,0.65289,0.63063,0.70054
CNN+LDA,Curvilinear,2,0.61207,0.68595,0.53153,0.66734
CNN+LDA,Curvilinear,3,0.60776,0.58678,0.63063,0.65535
CNN+LDA,Curvilinear,4,0.62771,0.65289,0.6,0.66882
CNN+LDA,Curvilinear,5,0.61905,0.65,0.58559,0.70788
CNN+LDA,Rectilinear,1,0.66304,0.58696,0.73913,0.71456
CNN+LDA,Rectilinear,2,0.67391,0.67391,0.67391,0.77788
CNN+LDA,Rectilinear,3,0.6087,0.54348,0.67391,0.69329
CNN+LDA,Rectilinear,4,0.67391,0.68889,0.65957,0.69125
CNN+LDA,Rectilinear,5,0.54945,0.51111,0.58696,0.62271
CNN+LDA,Combine,1,0.58333,0.57485,0.59236,0.63034
CNN+LDA,Combine,2,0.60494,0.62275,0.58599,0.66639
CNN+LDA,Combine,3,0.62848,0.60843,0.64968,0.67984
CNN+LDA,Combine,4,0.64396,0.63855,0.64968,0.7014
CNN+LDA,Combine,5,0.63777,0.68675,0.58599,0.71598
