Model,Condition,Fold,Accuracy,Sensitivity,Specificity,AUC
CNN+SVM,Curvilinear,1,0.91379,0.91736,0.90991,0.96099
CNN+SVM,Curvilinear,2,0.91379,0.91736,0.90991,0.9653
CNN+SVM,Curvilinear,3,0.93966,0.91736,0.96396,0.98548
CNN+SVM,Curvilinear,4,0.93939,0.95041,0.92727,0.96972
CNN+SVM,Curvilinear,5,0.91775,0.96667,0.86486,0.95706
CNN+SVM,Rectilinear,1,0.91304,0.91304,0.91304,0.95983
CNN+SVM,Rectilinear,2,0.83696,0.86957,0.80435,0.90265
CNN+SVM,Rectilinear,3,0.83696,0.78261,0.8913,0.90784
CNN+SVM,Rectilinear,4,0.86957,0.8,0.93617,0.92009
CNN+SVM,Rectilinear,5,0.85714,0.93333,0.78261,0.91256
CNN+SVM,Combine,1,0.89506,0.90419,0.88535,0.96258
CNN+SVM,Combine,2,0.88272,0.91018,0.8535,0.95046
CNN+SVM,Combine,3,0.93498,0.93976,0.92994,0.98097
CNN+SVM,Combine,4,0.87926,0.89157,0.86624,0.95181
CNN+SVM,Combine,5,0.91022,0.92771,0.89172,0.96723
